SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
4THDIM,Fourth Dimension Solutions Limited,EQ,06-SEP-2022,10,1,INE382T01022,10
AARON,Aaron Industries Limited,BE,06-NOV-2020,10,1,INE721Z01010,10
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10
ADANIPOWER,Adani Power Limited,BE,20-AUG-2009,10,1,INE814H01011,10
ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10
AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10
AHLADA,Ahlada Engineers Limited,BE,28-JAN-2021,10,1,INE00PV01013,10
AHLEAST,Asian Hotels (East) Limited,BE,11-AUG-2010,10,1,INE926K01017,10
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10
AKG,Akg Exim Limited,BE,16-FEB-2021,10,1,INE00Y801016,10
ALPSINDUS,Alps Industries Limited,EQ,24-APR-1996,10,1,INE093B01015,10
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,BE,29-JUN-2004,10,1,INE792B01012,10
AMDIND,AMD Industries Limited,BE,19-MAR-2007,10,1,INE005I01014,10
ANKITMETAL,Ankit Metal & Power Limited,EQ,14-MAR-2013,10,1,INE106I01010,10
ANSALAPI,Ansal Properties & Infrastructure Limited,BE,27-JAN-2006,5,1,INE436A01026,5
ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1
APOLLO,Apollo Micro Systems Limited,BE,22-JAN-2018,10,1,INE713T01010,10
ARROWGREEN,Arrow Greentech Limited,BE,21-MAY-2015,10,1,INE570D01018,10
ARVEE,Arvee Laboratories (India) Limited,EQ,22-MAR-2021,10,1,INE006Z01016,10
ATLANTA,Atlanta  Limited,BE,25-SEP-2006,2,1,INE285H01022,2
AURUM,Aurum PropTech Limited,BE,19-AUG-2015,5,1,INE898S01029,5
AXITA,Axita Cotton Limited,EQ,21-JUN-2022,1,1,INE02EZ01022,1
BAGFILMS,B.A.G Films and Media Limited,BE,17-OCT-2003,2,1,INE116D01028,2
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1
BALAXI,BALAXI PHARMACEUTICALS LIMITED,BE,30-NOV-2015,10,1,INE618N01014,10
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-JUL-2015,10,1,INE875R01011,10
BALLARPUR,Ballarpur Industries Limited,BZ,31-MAR-2008,2,1,INE294A01037,2
BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,5,1,INE629D01020,5
BCONCEPTS,Brand Concepts Limited,BE,11-JAN-2022,10,1,INE977Y01011,10
BIGBLOC,Bigbloc Construction Limited,BE,02-SEP-2016,2,1,INE412U01025,2
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,1,INE00E101023,1
BIL,Bhartiya International Limited,EQ,12-APR-2000,10,1,INE828A01016,10
BOHRAIND,Bohra Industries Limited,BE,27-OCT-2022,10,1,INE802W01023,10
BSHSL,Bombay Super Hybrid Seeds Limited,BE,28-OCT-2020,1,1,INE032Z01020,1
BURNPUR,Burnpur Cement Limited,EQ,03-JAN-2008,10,1,INE817H01014,10
CARYSIL,CARYSIL LIMITED,EQ,14-JAN-2021,2,1,INE482D01024,2
CCHHL,Country Club Hospitality & Holidays Limited,BE,03-FEB-2015,2,1,INE652F01027,2
CENTEXT,Century Extrusions Limited,BE,20-JUL-2004,1,1,INE281A01026,1
CROWN,Crown Lifters Limited,EQ,08-FEB-2022,10,1,INE491V01019,10
DANGEE,Dangee Dums Limited,EQ,13-NOV-2020,1,1,INE688Y01022,1
DBOL,Dhampur Bio Organics Limited,EQ,08-SEP-2022,10,1,INE0I3401014,10
DBREALTY,D B Realty Limited,EQ,24-FEB-2010,10,1,INE879I01012,10
DCI,Dc Infotech And Communication Limited,BE,19-OCT-2022,10,1,INE0A1101019,10
