Date,All Weather Investing,NIFTY 100
02-07-2007,100.21,100
03-07-2007,100.6,100.98
04-07-2007,100.4,100.9
05-07-2007,100.1,100.7
06-07-2007,100.01,101.36
09-07-2007,100.69,102.24
10-07-2007,100.91,101.96
11-07-2007,101.12,101.71
12-07-2007,101.64,103.16
13-07-2007,102.15,104.34
16-07-2007,102.09,104.58
17-07-2007,101.81,104.17
18-07-2007,101.49,104.16
19-07-2007,102.44,105.44
20-07-2007,102.69,105.46
23-07-2007,103,106.7
24-07-2007,103.02,106.62
25-07-2007,102.82,105.84
26-07-2007,102.86,106.52
27-07-2007,101.48,102.54
30-07-2007,101.19,102.42
31-07-2007,101.58,104.41
01-08-2007,100.34,100.08
02-08-2007,100.58,100.38
03-08-2007,101.04,101.59
06-08-2007,101.03,100.19
07-08-2007,101.25,100.69
08-08-2007,101.92,103.08
09-08-2007,101.51,101.54
10-08-2007,100.6,100.01
13-08-2007,101.02,100.92
14-08-2007,101.09,100.78
16-08-2007,99.91,96.27
17-08-2007,99.18,94.7
20-08-2007,99.64,96.98
21-08-2007,98.99,93.83
22-08-2007,99.13,95.43
23-08-2007,99.14,94.58
24-08-2007,99.54,96.25
27-08-2007,100.67,98.93
28-08-2007,100.98,99.54
29-08-2007,101.37,100.39
30-08-2007,101.22,101.41
31-08-2007,101.89,102.76
03-09-2007,102.2,103.24
04-09-2007,102.55,103.42
05-09-2007,102.62,103.31
06-09-2007,103.13,104.33
07-09-2007,103.61,103.97
10-09-2007,103.99,104.04
11-09-2007,104.02,103.78
12-09-2007,104.32,103.91
13-09-2007,104.25,104.77
14-09-2007,104.04,104.33
17-09-2007,104.48,103.92
18-09-2007,104.9,105.13
19-09-2007,106.17,109.15
20-09-2007,106.22,109.5
21-09-2007,106.93,111.39
24-09-2007,107.63,113.65
25-09-2007,107.15,113.75
26-09-2007,107.49,113.88
27-09-2007,107.45,115
28-09-2007,108.12,115.77
01-10-2007,109.41,117.04
03-10-2007,109.55,120
04-10-2007,108.84,119.82
05-10-2007,108.72,118.95
08-10-2007,107.49,116.37
09-10-2007,108.83,121.82
10-10-2007,110.3,124.48
11-10-2007,110.98,126.42
12-10-2007,110.46,124.18
15-10-2007,111.84,129.37
16-10-2007,112.51,129.4
17-10-2007,111.68,126.63
18-10-2007,110.36,121.86
19-10-2007,109.25,118.48
22-10-2007,108.91,117.94
23-10-2007,110.92,124.73
24-10-2007,111.44,125.32
25-10-2007,112.15,126.85
26-10-2007,113.29,130.04
29-10-2007,115.44,134.29
30-10-2007,115.8,133.86
31-10-2007,115.26,134.59
01-11-2007,116.08,133.62
02-11-2007,115.74,135.15
05-11-2007,116.12,133.46
06-11-2007,116.58,132.03
07-11-2007,117.64,131.89
08-11-2007,116.78,130.28
12-11-2007,115.6,128.4
13-11-2007,116.17,130.37
14-11-2007,117.14,135.66
15-11-2007,117.63,135.42
16-11-2007,117.31,135.5
19-11-2007,118,136.28
20-11-2007,117.26,133.44
21-11-2007,116.3,128.09
22-11-2007,115.69,127.31
23-11-2007,117.1,129.27
26-11-2007,118.69,131.98
27-11-2007,118.54,131.47
28-11-2007,117.33,129.76
29-11-2007,117.79,129.94
30-11-2007,118.32,133.12
03-12-2007,118.66,135.64
04-12-2007,119.05,135.68
05-12-2007,119.66,137.59
