Date,Equity & Gold,NIFTY 100
29-06-2007,100,100
02-07-2007,100.24,100
03-07-2007,100.89,100.98
04-07-2007,101,100.9
05-07-2007,100.27,100.7
06-07-2007,100.56,101.36
09-07-2007,101.66,102.24
10-07-2007,101.74,101.96
11-07-2007,101.94,101.71
12-07-2007,102.85,103.16
13-07-2007,103.86,104.34
16-07-2007,103.81,104.58
17-07-2007,103.4,104.17
18-07-2007,102.43,104.16
19-07-2007,104.84,105.44
20-07-2007,105.39,105.46
23-07-2007,105.93,106.7
24-07-2007,105.85,106.62
25-07-2007,105.69,105.84
26-07-2007,105.85,106.52
27-07-2007,103.06,102.54
30-07-2007,103.03,102.42
31-07-2007,103.81,104.41
01-08-2007,101.18,100.08
02-08-2007,101.22,100.38
03-08-2007,102.12,101.59
06-08-2007,101.46,100.19
07-08-2007,101.79,100.69
08-08-2007,103.63,103.08
09-08-2007,102.93,101.54
10-08-2007,100.8,100.01
13-08-2007,101.55,100.92
14-08-2007,101.87,100.78
16-08-2007,98.77,96.27
17-08-2007,97.46,94.7
20-08-2007,98.46,96.98
21-08-2007,97.25,93.83
22-08-2007,98.07,95.43
23-08-2007,97.95,94.58
24-08-2007,98.92,96.25
27-08-2007,100.8,98.93
28-08-2007,101.31,99.54
29-08-2007,101.84,100.39
30-08-2007,102.4,101.41
31-08-2007,103.57,102.76
03-09-2007,103.87,103.24
04-09-2007,104.28,103.42
05-09-2007,104.28,103.31
06-09-2007,104.92,104.33
07-09-2007,105.47,103.97
10-09-2007,105.55,104.04
11-09-2007,105.5,103.78
12-09-2007,105.59,103.91
13-09-2007,105.7,104.77
14-09-2007,105.34,104.33
17-09-2007,105.67,103.92
18-09-2007,106.48,105.13
19-09-2007,109.8,109.15
20-09-2007,110.13,109.5
21-09-2007,111.38,111.39
24-09-2007,113.52,113.65
25-09-2007,112.38,113.75
26-09-2007,112.72,113.88
27-09-2007,113.46,115
28-09-2007,114.6,115.77
01-10-2007,115.52,117.04
03-10-2007,117.16,120
04-10-2007,116.64,119.82
05-10-2007,116.91,118.95
08-10-2007,115.01,116.37
09-10-2007,118.73,121.82
10-10-2007,121.26,124.48
11-10-2007,122.56,126.42
12-10-2007,121.12,124.18
