Date,Equity & Debt,NIFTY 100
29-12-2006,100,100
02-01-2007,100.75,101.01
03-01-2007,100.78,101.45
04-01-2007,100.48,100.65
05-01-2007,99.77,100.48
08-01-2007,98.94,99.21
09-01-2007,98.8,98.54
10-01-2007,97.96,97.14
11-01-2007,98.65,99.37
12-01-2007,100.58,102.09
15-01-2007,100.84,102.76
16-01-2007,100.87,102.87
17-01-2007,101.2,102.9
18-01-2007,101.46,103.6
19-01-2007,101.41,103.16
22-01-2007,101.11,103.41
23-01-2007,101.01,102.36
24-01-2007,100.96,103.02
25-01-2007,101.73,104.42
29-01-2007,101.43,103.88
31-01-2007,101,102.84
01-02-2007,101.32,104.13
02-02-2007,102.11,105.27
05-02-2007,102.57,106.07
06-02-2007,102.85,105.7
07-02-2007,103.08,106.38
08-02-2007,102.66,106.36
09-02-2007,101.89,105.25
12-02-2007,99.87,101.9
13-02-2007,98.87,101.51
14-02-2007,98.86,101.64
15-02-2007,100.82,104.24
19-02-2007,101.4,104.6
20-02-2007,100.33,103.2
21-02-2007,100.21,102.89
22-02-2007,99.65,101.46
23-02-2007,98.01,98.96
26-02-2007,98.08,99.15
27-02-2007,97.97,98.14
28-02-2007,96.17,94.45
01-03-2007,96.24,95.95
02-03-2007,95.72,93.91
05-03-2007,93.13,90.09
06-03-2007,93.89,91.93
07-03-2007,93.32,91.03
08-03-2007,94.87,94.51
09-03-2007,95.03,93.46
12-03-2007,95.36,93.93
13-03-2007,95.42,94.82
14-03-2007,93.67,91.67
15-03-2007,93.16,91.74
16-03-2007,92.44,90.89
19-03-2007,92.9,92.64
20-03-2007,94.22,93.22
21-03-2007,94.85,94.82
22-03-2007,96.2,97.54
23-03-2007,96.63,97.39
26-03-2007,96.41,96.42
28-03-2007,95.48,94.96
29-03-2007,95.69,95.7
30-03-2007,96.1,96.41
02-04-2007,94.07,91.76
03-04-2007,93.95,93.02
04-04-2007,94.55,94.04
05-04-2007,94.97,94.61
09-04-2007,96.37,96.99
10-04-2007,96.77,97.15
11-04-2007,97.04,97.42
12-04-2007,96.45,96.7
13-04-2007,97.65,98.95
16-04-2007,99.27,101.3
17-04-2007,99.15,100.64
18-04-2007,99.59,101.32
19-04-2007,99.52,101.05
20-04-2007,99.84,103.04
23-04-2007,100.21,102.96
24-04-2007,100.87,104.43
25-04-2007,101.45,105.08
26-04-2007,101.6,105.3
27-04-2007,100.69,103.12
30-04-2007,100.73,103.43
03-05-2007,102.21,105.06
04-05-2007,101.86,104.3
07-05-2007,101.79,104.09
08-05-2007,101.39,103.16
09-05-2007,100.82,103.31
10-05-2007,100.92,103.03
11-05-2007,100.18,103.33
14-05-2007,101.68,104.83
15-05-2007,101.76,104.57
16-05-2007,102.33,105.77
17-05-2007,103.04,107.02
18-05-2007,103.1,106.92
21-05-2007,104.17,108.14
22-05-2007,104.48,108.67
23-05-2007,104.17,107.76
24-05-2007,103.35,106.75
25-05-2007,103.56,107.76
28-05-2007,104.63,108.05
29-05-2007,104.72,108.99
30-05-2007,104.5,107.84
31-05-2007,104.45,108.9
01-06-2007,105.06,109.13
04-06-2007,104.75,108.35
05-06-2007,105.14,109
06-06-2007,104.21,106.82
07-06-2007,103.76,106.34
08-06-2007,103.61,105.49
11-06-2007,103.18,105.44
12-06-2007,102.63,105.57
13-06-2007,102.88,104.6
14-06-2007,103.62,106.15
15-06-2007,103.98,106.31
18-06-2007,103.95,105.78
19-06-2007,104.47,107.52
