NCH_SYMBOL,NCH_PREV_NAME,NCH_NEW_NAME,NCH_DT
1IADD,Deutsche MF - DWS Hybrid FTF Series 40 - RP-ADPO,DHFL Pramerica MF - Hybrid FTF Series 40 - RP-ADPO,08-Mar-16
1ID1G,Deutsche MF - DWS Hybrid FTF Series 40 - DP-GO,DHFL Pramerica MF - Hybrid FTF Series 40 - DP-GO,08-Mar-16
1ID2D,Deutsche MF - DWS Hybrid FTF Series 40 - DP-DPO,DHFL Pramerica MF - Hybrid FTF Series 40 - DP-DPO,08-Mar-16
1IDPD,Deutsche MF - DWS Hybrid FTF Series 40 - RP-DPO,DHFL Pramerica MF - Hybrid FTF Series 40 - RP-DPO,08-Mar-16
1IGPG,Deutsche MF - DWS Hybrid FTF Series 40 - RP-GO,DHFL Pramerica MF - Hybrid FTF Series 40 - RP-GO,08-Mar-16
3MINDIA,Birla 3M Ltd.,3M India Limited,15-Jun-04
3PLAND,Pudumjee Industries Limited,3P Land Holdings Limited,04-May-18
63MOONS,Financial Technologies (India) Limited,63 moons technologies limited,19-Jan-17
A2ZINFRA,A2Z Maintenance & Engineering Services Limited,A2Z INFRA ENGINEERING LIMITED,31-Dec-14
ABAN,Aban Loyd Chiles Offshore Ltd.,Aban Offshore Limited,18-Aug-06
ABB,ABB Limited,ABB India Limited,03-Jul-13
ABCIL,Bihar Caustics and Chemicals Ltd,Aditya Birla Chemicals (India) Limited,09-Mar-09
ABFRL,Pantaloons Fashion & Retail Limited,Aditya Birla Fashion and Retail Limited,29-Jan-16
ABHISHEK,Abhishek Mills Ltd,Abhishek Corporation Limited,26-Jun-08
ABIRLANUVO,Indian Rayon & Industries Ltd.,Aditya Birla Nuvo Limited,07-Dec-05
ACC,Associated Cement Co. Ltd,ACC Limited,04-Oct-06
ACCELYA,Accelya Kale Solutions Limited,Accelya Solutions India Limited,03-Jun-19
ADANIENT,Adani Exports Ltd,Adani Enterprises Limited,20-Sep-06
ADANIPORTS,Mundra Port and Special Economic Zone Limited,Adani Ports and Special Economic Zone Limited,17-Jan-12
ADORWELD,Advani Oerlikon Ltd,Ador Welding Limited,27-Sep-04
ADROITINFO,Sphere Global Services Limited,Adroit Infotech Limited,19-Apr-18
ADVANIHOTR,Ramada Hotels (I) Ltd,ADVANI HOTELS & RESORTS (INDIA) LIMITED,14-Mar-01
ADVANTA,Advanta India Limited,Advanta Limited,30-Jul-13
AEGISCHEM,Aegis Chemicals Limited,AEGIS LOGISTICS LIMITED,02-Jan-01
AFTEK,Aftek Infosys Limited,Aftek Limited,27-Nov-06
AGI,HSIL Limited,AGI Greenpac Limited,11-May-22
AGI,Hindustan Sanitaryware And Industries Ltd,HSIL Limited,27-Apr-09
AGREVOIND,Agrevo India Limited,Bayer Cropscience India Limited,17-Mar-03
AGRODUTCH,Agro Dutch Foods Ltd,AGRO DUTCH INDUSTRIES LIMITED,07-Mar-01
