SYMB_COMPANY_NAME,SM_KEY_SYMBOL,SM_NEW_SYMBOL,SM_APPLICABLE_FROM
Hindware Home Innovation Limited,SHIL,HINDWAREAP,21-Jun-22
Jupiter Wagons Limited,CEBBCO,JWL,20-Jun-22
Samvardhana Motherson International Limited,MOTHERSUMI,MOTHERSON,09-Jun-22
HSIL Limited,HSIL,AGI,11-May-22
NIPPON INDIA ETF CONSUMPTION,NETFCONSUM,CONSUMBEES,10-May-22
NIPPON INDIA ETF DIVIDEND OPPORTUNITIES,NEFTDIVOPP,DIVOPPBEES,10-May-22
NIPPON INDIA ETF LONG TERM GILT,NETFLTGILT,LTGILTBEES,10-May-22
NIPPON INDIA ETF NIFTY 100,NETFNIF100,NIF100BEES,10-May-22
NIPPON INDIA ETF NIFTY MIDCAP 150,NETFMID150,MID150BEES,10-May-22
NIPPON INDIA ETF NV20,NETFNV20,NV20BEES,10-May-22
Nippon India Mutual Fund - ETF Nifty SDL - 2026 Maturity,NETFSDL26,SDL26BEES,10-May-22
Nippon India Mutual Fund - Nippon India ETF 5 Year Gilt,NETFGILT5Y,GILT5YBEES,10-May-22
Nippon India Mutual Fund - Nippon India Nifty Auto ETF,NETFAUTO,AUTOBEES,10-May-22
Nippon India Mutual Fund - Nippon India Nifty Pharma ETF,NETFPHARMA,PHARMABEES,10-May-22
Nippon India Mutual Fund - Nippon India Silver ETF,NETFSILVER,SILVERBEES,10-May-22
Nippon India Mutual Fund-Nippon India ETF Nifty CPSE Bond Plus SDL-24,NCPSESDL24,SDL24BEES,10-May-22
Nippon Life India Asset Management Limited,NETFIT,ITBEES,10-May-22
Sonu Infratech Limited,AAZCS3193G,SONUINFRA,10-May-22
KPI Green Energy Limited,KPIGLOBAL,KPIGREEN,27-Apr-22
DSJ Keep Learning Limited,DALALSTCOM,KEEPLEARN,06-Apr-22
ZF Commercial Vehicle Control Systems India Limited,WABCOINDIA,ZFCVINDIA,01-Apr-22
DUDIGITAL GLOBAL LIMITED,DUDIGITAL,DUGLOBAL,17-Mar-22
SEPC Limited,SHRIRAMEPC,SEPC,09-Mar-22
Zydus Lifesciences Limited,CADILAHC,ZYDUSLIFE,07-Mar-22
Integra Essentia Limited,INTEGRA,ESSENTIA,02-Mar-22
PDS Limited,PDSMFL,PDSL,17-Feb-22
Restaurant Brands Asia Limited,BURGERKING,RBA,17-Feb-22
Debock Industries Limited,DSML,DIL,14-Jan-22
PCBL LIMITED,PHILIPCARB,PCBL,13-Jan-22
WinPro Industries Limited,JUMPNET,WINPRO,22-Dec-21
Dolat Algotech Limited,DOLAT,DOLATALGO,20-Dec-21
Linc Limited,LINCPEN,LINC,20-Dec-21
KBC Global Limited,KARDA,KBCGLOBAL,16-Dec-21
Yaari Digital Integrated Services Limited,YAARII,YAARI,15-Dec-21
Black Box Limited,AGCNET,BBOX,03-Dec-21
Equippp Social Impact Technologies Limited,PROINDIA,EQUIPPP,30-Nov-21
Angel One Limited,ANGELBRKG,ANGELONE,11-Nov-21
Aurum PropTech Limited,MAJESCO,AURUM,22-Oct-21
DELPHI WORLD MONEY LIMITED,EBIXFOREX,DELPHIFX,01-Sep-21
DUDIGITAL GLOBAL LIMITED,AACCD7641R,DUDIGITAL,20-Aug-21
AJR INFRA AND TOLLING LIMITED,GAMMNINFRA,AJRINFRA,16-Aug-21
SEJAL GLASS LIMITED,SEZAL,SEJAL,16-Aug-21
Nandani Creation Limited,NANDANI,JAIPURKURT,06-Aug-21
Poonawalla Fincorp Limited,MAGMA,POONAWALLA,05-Aug-21
SOVEREIGN GOLD BONDS 2.50% JULY 2029 SR-IV 2021-22,SGBJUN29IV,SGBJUL29IV,28-Jul-21
RHI MAGNESITA INDIA LTD,ORIENTREF,RHIM,22-Jul-21
Motilal Oswal Mutual Fund - Motilal Oswal 5 Year G Sec ETF - Growth,G5,MOGSEC,16-Jun-21
Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO,M100,MOM100,16-Jun-21
Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF,M50,MOM50,16-Jun-21
Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO,N100,MON100,16-Jun-21
INCREDIBLE INDUSTRIES LIMITED,ADHUNIKIND,INCREDIBLE,20-May-21
Vikas Lifecare Limited,VIKASMCORP,VIKASLIFE,06-May-21
RattanIndia Enterprises Limited,RTNINFRA,RTNINDIA,07-Apr-21
Jubilant Pharmova Limited,JUBILANT,JUBLPHARMA,12-Feb-21
OM INFRA LIMITED,OMMETALS,OMINFRAL,10-Feb-21
RPSG VENTURES LIMITED,CESCVENT,RPSGVENT,01-Feb-21
SECUREKLOUD TECHNOLOGIES LIMITED,8KMILES,SECURKLOUD,20-Jan-21
Adani Total Gas Limited,ADANIGAS,ATGL,13-Jan-21
Indus Towers Limited,INFRATEL,INDUSTOWER,18-Dec-20
Yaari Digital Integrated Services Limited,IBULISL,YAARII,08-Dec-20
Huhtamaki India Limited,PAPERPROD,HUHTAMAKI,26-Nov-20
Sterlite Technologies Limited,STRTECH,STLTECH,29-Oct-20
Dhani Services Limited,IBVENTPP,DHANIPP,28-Oct-20
Dhani Services Limited,IBVENTURES,DHANI,28-Oct-20
EPL Limited,ESSELPACK,EPL,19-Oct-20
Privi Speciality Chemicals Limited,FAIRCHEM,PRIVISCL,14-Oct-20
JSW Ispat Special Products Limited,AIONJSW,JSWISPL,12-Oct-20
DEEP ENERGY RESOURCES LIMITED,DEEPIND,DEEPENR,30-Sep-20
Dhani Loans and Services Limited,ICFL,DHANILOANS,17-Sep-20
Coforge Limited,NIITTECH,COFORGE,20-Aug-20
Zenith Steel Pipes & Industries Limited,ZENITHBIR,ZENITHSTL,19-Aug-20
WE WIN LIMITED,SUREVIN,WEWIN,01-Jul-20
Imagicaaworld Entertainment Limited,ADLABS,IMAGICAA,22-Apr-20
Tembo Global Industries Limited,SAKETH,TEMBO,13-Apr-20
DELPHI WORLD MONEY LIMITED,WEIZFOREX,EBIXFOREX,20-Mar-20
ANDHRA PAPER LIMITED,ANDPAPER,ANDHRAPAP,05-Mar-20
TATA CONSUMER PRODUCTS LIMITED,TATAGLOBAL,TATACONSUM,27-Feb-20
BOROSIL RENEWABLES LIMITED,BOROSIL,BORORENEW,20-Feb-20
Nippon Life India Asset Management Limited,RNAM,NAM-INDIA,23-Jan-20
ANDHRA PAPER LIMITED,IPAPPM,ANDPAPER,22-Jan-20
HLV LIMITED,HOTELEELA,HLVLTD,08-Jan-20
NXTDIGITAL LIMITED,HINDUJAVEN,NXTDIGITAL,11-Nov-19
AVRO INDIA LIMITED,AVONMPL,AVROIND,01-Nov-19
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E -  GO,RDAXEDG,NDAXEDG,30-Oct-19
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E - DPO,RDAXEDD,NDAXEDD,30-Oct-19
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E-DPGO,RDAXEDDG,NDAXEDDG,30-Oct-19
 NIPPON INDIA MF-NIPPON INDIA Dual Advantage FTF Sr.x Plan E- DP- DPO,RDAXEDDD,NDAXEDDD,30-Oct-19
NIPPON INDIA ETF CONSUMPTION,RELCONS,NETFCONSUM,30-Oct-19
NIPPON INDIA ETF NIFTY 100,RELCNX100,NETFNIF100,30-Oct-19
NIPPON INDIA ETF NIFTY MIDCAP 150,RETFMID150,NETFMID150,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr III Pl A - DP-GO,RDAIIIADG,NDAIIIADG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr III Pl A - DPO,RDAIIIARD,NDAIIIARD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr III Pl A - GO,RDAIIIARG,NDAIIIARG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - DP-DPO,RDAIXDDD,NDAIXDDD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - DP-GO,RDAIXDDG,NDAIXDDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - DPO,RDAIXDD,NDAIXDD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - GO,RDAIXDG,NDAIXDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - DP-DPO,RDAIXEDDD,NDAIXEDDD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - DP-GO,RDAIXEDDG,NDAIXEDDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - DPO,RDAIXEDD,NDAIXEDD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - GO,RDAIXEDG,NDAIXEDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - DP-DPO,RDAIXFDDD,NDAIXFDDD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - DP-GO,RDAIXFDDG,NDAIXFDDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - DPO,RDAIXFDD,NDAIXFDD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - GO,RDAIXFDG,NDAIXFDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl C - DP-GO,RDAVIIPCDG,NDAVIIPCDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - DP-DPO,RDAVIIPDDD,NDAVIIPDDD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - DP-GO,RDAVIIPDDG,NDAVIIPDDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - DPO,RDAVIIPDD,NDAVIIPDD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - O,RDAVIIPDG,NDAVIIPDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VIII Pl C - DP-DPO,RDAFVIIICX,NDAFVIIICX,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VIII Pl C - DPO,RDAFVIIICD,NDAFVIIICD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - DP-DPO,RDAXADDD,NDAXADDD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - DP-GO,RDAXADDG,NDAXADDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - DPO,RDAXADD,NDAXADD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - GO,RDAXADG,NDAXADG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - DP-DPO,RDAXDDDD,NDAXDDDD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - DP-GO,RDAXDDDG,NDAXDDDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - DPO,RDAXDDD,NDAXDDD,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - GO,RDAXDDG,NDAXDDG,30-Oct-19
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - DP-GO ,RDAFTVCDG,NDAFTVCDG,30-Oct-19
