Name,Ticker,Sub-Sector
Affle (India) Ltd,AFFLE,Advertising
Vertoz Advertising Ltd,VERTOZ,Advertising
Touchwood Entertainment Ltd,TOUCHWOOD,Advertising
Silly Monks Entertainment Ltd,SILLYMONKS,Advertising
Hathway Cable and Datacom Ltd,HATHWAY,Cable & D2H
DEN Networks Ltd,DEN,Cable & D2H
Dish TV India Ltd,DISHTV,Cable & D2H
GTPL Hathway Ltd,GTPL,Cable & D2H
Ortel Communications Ltd,ORTEL,Cable & D2H
Balaji Telefilms Ltd,BALAJITELE,Movies & TV Serials
UFO Moviez India Ltd,UFO,Movies & TV Serials
Tips Industries Ltd,TIPSINDLTD,Movies & TV Serials
Eros International Media Ltd,EROSMEDIA,Movies & TV Serials
Shemaroo Entertainment Ltd,SHEMAROO,Movies & TV Serials
Mukta Arts Ltd,MUKTAARTS,Movies & TV Serials
Pritish Nandy Communications Ltd,PNC,Movies & TV Serials
Radaan Media Works India Ltd,RADAAN,Movies & TV Serials
Creative Eye Ltd,CREATIVEYE,Movies & TV Serials
Info Edge (India) Ltd,NAUKRI,Online Services
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,Online Services
IndiaMART InterMESH Ltd,INDIAMART,Online Services
Just Dial Ltd,JUSTDIAL,Online Services
Matrimony.Com Ltd,MATRIMONY,Online Services
Digicontent Ltd,DGCONTENT,Online Services
Spacenet Enterprises India Ltd,SPCENET,Online Services
DB Corp Ltd,DBCORP,Publishing
Jagran Prakashan Ltd,JAGRAN,Publishing
Hindustan Media Ventures Ltd,HMVL,Publishing
HT Media Ltd,HTMEDIA,Publishing
Diligent Media Corporation Ltd,DNAMEDIA,Publishing
Madhya Pradesh Today Media Ltd,MPTODAY,Publishing
Sab Events & Governance Now Media Ltd,SABEVENTS,Publishing
Entertainment Network (India) Ltd,ENIL,Radio
Music Broadcast Ltd,RADIOCITY,Radio
ITI Ltd,ITI,Telecom Equipments
Vindhya Telelinks Ltd,VINDHYATEL,Telecom Equipments
Tejas Networks Ltd,TEJASNET,Telecom Equipments
Tamilnadu Telecommunication Ltd,TNTELE,Telecom Equipments
Shyam Telecom Ltd,SHYAMTEL,Telecom Equipments
GTL Infrastructure Ltd,GTLINFRA,Telecom Infrastructure
Mahanagar Telephone Nigam Ltd,MTNL,Telecom Services
Uniinfo Telecom Services Ltd,UNIINFO,Telecom Services
Accord Synergy Ltd,ACCORD,Telecom Services
PVR Ltd,PVR,Theatres
INOX Leisure Ltd,INOXLEISUR,Theatres
TV Today Network Ltd,TVTODAY,TV Channels & Broadcasters
New Delhi Television Ltd,NDTV,TV Channels & Broadcasters
Raj Television Network Ltd,RAJTV,TV Channels & Broadcasters
Jain Studios Ltd,JAINSTUDIO,TV Channels & Broadcasters
Sri Adhikari Brothers Television Network Ltd,SABTN,TV Channels & Broadcasters
TV Vision Ltd,TVVISION,TV Channels & Broadcasters
