Name,Ticker,Sub-Sector
Prime Focus Ltd,PFOCUS,Animation
DQ Entertainment International Ltd,DQE,Animation
Page Industries Ltd,PAGEIND,Apparel & Accessories
V I P Industries Ltd,VIPIND,Apparel & Accessories
Lux Industries Ltd,LUXIND,Apparel & Accessories
TCNS Clothing Co Ltd,TCNSBRANDS,Apparel & Accessories
Raymond Ltd,RAYMOND,Apparel & Accessories
Rupa & Company Ltd,RUPA,Apparel & Accessories
Kewal Kiran Clothing Ltd,KKCL,Apparel & Accessories
Safari Industries (India) Ltd,SAFARI,Apparel & Accessories
Kitex Garments Ltd,KITEX,Apparel & Accessories
Dollar Industries Ltd,DOLLAR,Apparel & Accessories
Cantabil Retail India Ltd,CANTABIL,Apparel & Accessories
Monte Carlo Fashions Ltd,MONTECARLO,Apparel & Accessories
Zodiac Clothing Company Ltd,ZODIACLOTH,Apparel & Accessories
Bombay Rayon Fashions Ltd,BRFL,Apparel & Accessories
S. P. Apparels Ltd,SPAL,Apparel & Accessories
Gokaldas Exports Ltd,GOKEX,Apparel & Accessories
Bhartiya International Ltd,BIL,Apparel & Accessories
Indian Terrain Fashions Ltd,INDTERRAIN,Apparel & Accessories
SPL Industries Ltd,SPLIL,Apparel & Accessories
Lovable Lingerie Ltd,LOVABLE,Apparel & Accessories
Pioneer Embroideries Ltd,PIONEEREMB,Apparel & Accessories
Banaras Beads Ltd,BANARBEADS,Apparel & Accessories
Aarvee Denims and Exports Ltd,AARVEEDEN,Apparel & Accessories
Bang Overseas Ltd,BANG,Apparel & Accessories
Celebrity Fashions Ltd,CELEBRITY,Apparel & Accessories
Bhandari Hosiery Exports Ltd,BHANDARI,Apparel & Accessories
Jet Knitwears Ltd,JETKNIT,Apparel & Accessories
Nandani Creation Ltd,JAIPURKURT,Apparel & Accessories
Endurance Technologies Ltd (CN),ENDURANCE,Auto Parts
Sundram Fasteners Ltd,SUNDRMFAST,Auto Parts
Minda Industries Ltd,MINDAIND,Auto Parts
Sundaram Clayton Ltd,SUNCLAYLTD,Auto Parts
Varroc Engineering Ltd,VARROC,Auto Parts
Suprajit Engineering Ltd,SUPRAJIT,Auto Parts
Minda Corporation Ltd,MINDACORP,Auto Parts
IFB Industries Ltd,IFBIND,Auto Parts
Shriram Pistons & Rings Ltd,SHRIPISTON,Auto Parts
Gabriel India Ltd,GABRIEL,Auto Parts
Sandhar Technologies Ltd,SANDHAR,Auto Parts
Lumax Industries Ltd,LUMAXIND,Auto Parts
Jamna Auto Industries Ltd,JAMNAAUTO,Auto Parts
Subros Ltd,SUBROS,Auto Parts
Wheels India Ltd,WHEELS,Auto Parts
Pricol Ltd,PRICOLLTD,Auto Parts
Lumax AutoTechnologies Ltd,LUMAXTECH,Auto Parts
Steel Strips Wheels Ltd,SSWL,Auto Parts
India Motor Parts & Accessories Ltd,IMPAL,Auto Parts
Shanthi Gears Ltd,SHANTIGEAR,Auto Parts
India Nippon Electricals Ltd,INDNIPPON,Auto Parts
Banco Products (India) Ltd,BANCOINDIA,Auto Parts
Fiem Industries Ltd,FIEMIND,Auto Parts
Munjal Auto Industries Ltd,MUNJALAU,Auto Parts
Sharda Motor Industries Ltd,SHARDAMOTR,Auto Parts
Rane Brake Linings Ltd,RBL,Auto Parts
Munjal Showa Ltd,MUNJALSHOW,Auto Parts
GNA Axles Ltd,GNA,Auto Parts
Jay Bharat Maruti Ltd,JAYBARMARU,Auto Parts
Rico Auto Industries Ltd,RICOAUTO,Auto Parts
Dynamatic Technologies Ltd,DYNAMATECH,Auto Parts
Precision Camshafts Ltd,PRECAM,Auto Parts
Harita Seating Systems Ltd,HARITASEAT,Auto Parts
UCAL Fuel Systems Ltd,UCALFUEL,Auto Parts
Rane (Madras) Ltd,RML,Auto Parts
Gandhi Special Tubes Ltd,GANDHITUBE,Auto Parts
Hindustan Composites Ltd,HINDCOMPOS,Auto Parts
Menon Bearings Ltd,MENONBE,Auto Parts
JMT Auto Ltd,JMTAUTOLTD,Auto Parts
Shivam Autotech Ltd,SHIVAMAUTO,Auto Parts
Rane Engine Valve Ltd,RANEENGINE,Auto Parts
Setco Automotive Ltd,SETCO,Auto Parts
Talbros Automotive Components Ltd,TALBROAUTO,Auto Parts
Sundaram Brake Linings Ltd,SUNDRMBRAK,Auto Parts
Jullundur Motor Agency (Delhi) Ltd,JMA,Auto Parts
Omax Autos Ltd,OMAXAUTO,Auto Parts
Autoline Industries Ltd,AUTOIND,Auto Parts
Bharat Gears Ltd,BHARATGEAR,Auto Parts
Remsons Industries Ltd,REMSONSIND,Auto Parts
Tirupati Forge Ltd,TIRUPATIFL,Auto Parts
Autolite India Ltd,AUTOLITIND,Auto Parts
Tube Investments of India Ltd,TIINDIA,Cycles
NIIT Ltd,NIITLTD,Education Services
Zee Learn Ltd,ZEELEARN,Education Services
S Chand and Company Ltd,SCHAND,Education Services
MT Educare Ltd,MTEDUCARE,Education Services
Compucom Software Ltd,COMPUSOFT,Education Services
CL Educate Ltd,CLEDUCATE,Education Services
Global Education Ltd,GLOBAL,Education Services
Educomp Solutions Ltd,EDUCOMP,Education Services
Keerti Knowledge and Skills Ltd,KEERTI,Education Services
Tree House Education and Accessories Ltd,TREEHOUSE,Education Services
Usha Martin Education And Solutions Ltd,UMESLTD,Education Services
Bata India Ltd,BATAINDIA,Footwear
Relaxo Footwears Ltd,RELAXO,Footwear
Sreeleathers Ltd,SREEL,Footwear
Liberty Shoes Ltd,LIBERTSHOE,Footwear
Khadim India Ltd,KHADIM,Footwear
Super House Ltd,SUPERHOUSE,Footwear
Mahindra and Mahindra Ltd,M&M,Four Wheelers
Tata Motors Ltd - DVR,TATAMTRDVR,Four Wheelers
Hindustan Motors Ltd,HINDMOTORS,Four Wheelers
Whirlpool of India Ltd,WHIRLPOOL,Home Electronics & Appliances
Voltas Ltd,VOLTAS,Home Electronics & Appliances
Crompton Greaves Consumer Electricals Ltd,CROMPTON,Home Electronics & Appliances
Dixon Technologies (India) Ltd,DIXON,Home Electronics & Appliances
TTK Prestige Ltd,TTKPRESTIG,Home Electronics & Appliances
Symphony Ltd,SYMPHONY,Home Electronics & Appliances
Bajaj Electricals Ltd,BAJAJELEC,Home Electronics & Appliances
Blue Star Ltd,BLUESTARCO,Home Electronics & Appliances
Amber Enterprises India Ltd,AMBER,Home Electronics & Appliances
Orient Electric Ltd,ORIENTELEC,Home Electronics & Appliances
Butterfly Gandhimathi Appliances Ltd,BUTTERFLY,Home Electronics & Appliances
MIRC Electronics Ltd,MIRCELECTR,Home Electronics & Appliances
BPL Ltd,BPL,Home Electronics & Appliances
Wonder Fibromats Ltd,WFL,Home Electronics & Appliances
Focus Lighting and Fixtures Ltd,FOCUS,Home Electronics & Appliances
Sheela Foam Ltd,SFL,Home Furnishing
Praxis Home Retail Ltd,PRAXIS,Home Furnishing
Parin Furniture Ltd,PARIN,Home Furnishing
Ahlada Engineers Ltd,AHLADA,Home Furnishing
Premier Polyfilm Ltd,PREMIERPOL,Home Furnishing
Marvel Decor Ltd,MDL,Home Furnishing
Priti International Ltd,PRITI,Home Furnishing
Omfurn India Ltd,OMFURN,Home Furnishing
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines"
Chalet Hotels Ltd,CHALET,"Hotels, Resorts & Cruise Lines"
Mahindra Holidays and Resorts India Ltd,MHRIL,"Hotels, Resorts & Cruise Lines"
Lemon Tree Hotels Ltd,LEMONTREE,"Hotels, Resorts & Cruise Lines"
TAJ GVK Hotels and Resorts Ltd,TAJGVK,"Hotels, Resorts & Cruise Lines"
Oriental Hotels Ltd,ORIENTHOT,"Hotels, Resorts & Cruise Lines"
Asian Hotels (West) Ltd,AHLWEST,"Hotels, Resorts & Cruise Lines"
Asian Hotels East Ltd,AHLEAST,"Hotels, Resorts & Cruise Lines"
Royal Orchid Hotels Ltd,ROHLTD,"Hotels, Resorts & Cruise Lines"
Kamat Hotels (India) Ltd,KAMATHOTEL,"Hotels, Resorts & Cruise Lines"
Byke Hospitality Ltd,BYKE,"Hotels, Resorts & Cruise Lines"
Country Club Hospitality & Holidays Ltd,CCHHL,"Hotels, Resorts & Cruise Lines"
Viceroy Hotels Ltd,VICEROY,"Hotels, Resorts & Cruise Lines"
CKP Leisure Ltd,CKPLEISURE,"Hotels, Resorts & Cruise Lines"
Neopolitan Pizza Ltd,NOE,"Hotels, Resorts & Cruise Lines"
La Opala R G Ltd,LAOPALA,Housewares
Tokyo Plast International Ltd,TOKYOPLAST,Housewares
Jik Industries Ltd,JIKIND,Housewares
Borosil Ltd,BOROLTD,Housewares
Rajesh Exports Ltd,RAJESHEXPO,"Precious Metals, Jewellery & Watches"
PC Jeweller Ltd,PCJEWELLER,"Precious Metals, Jewellery & Watches"
Thanga Mayil Jewellery Ltd,THANGAMAYL,"Precious Metals, Jewellery & Watches"
Tribhovandas Bhimji Zaveri Ltd,TBZ,"Precious Metals, Jewellery & Watches"
Goldiam International Ltd,GOLDIAM,"Precious Metals, Jewellery & Watches"
KDDL Ltd,KDDL,"Precious Metals, Jewellery & Watches"
D P Abhushan Ltd,DPABHUSHAN,"Precious Metals, Jewellery & Watches"
Sonam Clock Ltd,SONAMCLOCK,"Precious Metals, Jewellery & Watches"
Kanani Industries Ltd,KANANIIND,"Precious Metals, Jewellery & Watches"
Moksh Ornaments Ltd,MOKSH,"Precious Metals, Jewellery & Watches"
Goenka Diamond And Jewels Ltd,GOENKA,"Precious Metals, Jewellery & Watches"
Penta Gold Ltd,PENTAGOLD,"Precious Metals, Jewellery & Watches"
Silgo Retail Ltd,SILGO,"Precious Metals, Jewellery & Watches"
Shubhlaxmi Jewel Art Ltd,SHUBHLAXMI,"Precious Metals, Jewellery & Watches"
Opal Luxury Time Products Ltd,OPAL,"Precious Metals, Jewellery & Watches"
Zodiac-JRD-MKJ Ltd,ZODJRDMKJ,"Precious Metals, Jewellery & Watches"
Lypsa Gems & Jewellery Ltd,LYPSAGEMS,"Precious Metals, Jewellery & Watches"
Jubilant Foodworks Ltd,JUBLFOOD,Restaurants & Cafes
Coffee Day Enterprises Ltd,COFFEEDAY,Restaurants & Cafes
Speciality Restaurants Ltd,SPECIALITY,Restaurants & Cafes
Apollo Sindoori Hotels Ltd,APOLSINHOT,Restaurants & Cafes
Hotel Rugby Ltd,HOTELRUGBY,Restaurants & Cafes
A B N Intercorp Ltd,ABNINT,Restaurants & Cafes
Future Lifestyle Fashions Ltd,FLFL,Retail - Apparel
Thomas Scott (India) Ltd,THOMASCOTT,Retail - Apparel
Avenue Supermarts Ltd,DMART,Retail - Department Stores
Future Retail Ltd,FRETAIL,Retail - Department Stores
V-mart Retail Ltd,VMART,Retail - Department Stores
Spencer's Retail Ltd,SPENCERS,Retail - Department Stores
Brand Concepts Ltd,BCONCEPTS,Retail - Department Stores
Intrasoft Technologies Ltd,ISFT,Retail - Online
SRF Ltd,SRF,Textiles
Alok Industries Ltd,ALOKINDS,Textiles
Welspun India Ltd,WELSPUNIND,Textiles
Swan Energy Ltd,SWANENERGY,Textiles
