Name,Ticker,Sub-Sector
ADF Foods Ltd,ADFFOODS,Packaged Foods & Meats
ANS Industries Ltd,ANSINDUS,Packaged Foods & Meats
AVT Natural Products Ltd,AVTNPL,Agro Products
Adani Wilmar Ltd,AWL,FMCG - Foods
Add-Shop E-Retail Ltd,ASRL,FMCG - Personal Products
Ador Multi Products Ltd,ADORMUL,FMCG - Personal Products
Agri-Tech (India) Ltd,AGRITECH,Agro Products
AGRO TECH FOODS LIMITED,ATFL,Packaged Foods & Meats
Alna Trading and Exports Ltd,ALNATRD,Tea & Coffee
Ambar Protein Industries Ltd,AMBARPIL,Agro Products
Andrew Yule & Co Ltd,ANDREWYU,Tea & Coffee
Apex Frozen Foods Ltd,APEX,Packaged Foods & Meats
Arihant Tournesol Ltd,ARHNTTO,Agro Products
Aspinwall & Co Ltd,ASPINWALL,Tea & Coffee
Associated Alcohols & Breweries Ltd,ASALCBR,Alcoholic Beverages
Aurangabad Distillery Ltd,AURDIS,Alcoholic Beverages
Avadh Sugar & Energy Ltd,AVADHSUGAR,Sugar
Avanti Feeds Ltd,AVANTIFEED,Packaged Foods & Meats
B & A Ltd,BNALTD,Agro Products
BCL Industries Ltd,BCLIND,FMCG - Foods
BKV Industries Ltd,BKV,Packaged Foods & Meats
Bajaj Consumer Care Limited,BAJAJCON,FMCG - Personal Products
Bajaj Hindusthan Sugar Limited,BAJAJHIND,Sugar
Balrampur Chini Mills Ltd,BALRAMCHIN,Sugar
Bambino Agro Industries Ltd,BAMBINO,FMCG - Foods
Bannari Amman Sugars Ltd,BANARISUG,Sugar
Bansisons Tea Industries Ltd,BANSTEA,Tea & Coffee
Bombay Burmah Trading Corporation Ltd,BBTC,Tea & Coffee
Bombay Super Hybrid Seeds Ltd,BSHSL,Seeds
Britannia Industries Ltd,BRITANNIA,FMCG - Foods
CCL Products India Ltd,CCL,Tea & Coffee
Chaman Lal Setia Exports Ltd,CLSEL,Packaged Foods & Meats
Chordia Food Products Ltd,CHORDIA,Packaged Foods & Meats
Chothani Foods Ltd,CHOTHANI,Agro Products
Cian Agro Industries & Infrastructure Ltd,CIANAGRO,Agro Products
Coastal Corporation Ltd,COASTCORP,Packaged Foods & Meats
Colgate-Palmolive (India) Ltd,COLPAL,FMCG - Personal Products
Contil India Ltd,CONTILI,Packaged Foods & Meats
Continental Seeds and Chemicals Ltd,CONTI,Seeds
Coromandel Agro Products and Oils Ltd,CORAGRO,Agro Products
Cupid Ltd,CUPID,FMCG - Personal Products
DFM Foods Ltd,DFMFOODS,Packaged Foods & Meats
Dabur India Ltd,DABUR,FMCG - Personal Products
Dalmia Bharat Sugar and Industries Limited,DALMIASUG,Sugar
Dangee Dums Ltd,DANGEE,FMCG - Foods
