Name,Ticker,Sub-Sector
Axis Gold ETF,AXISGOLD,Gold
Edelweiss Bharat Bond ETFApril 2023 ETF,EBBETF0423,Debt
Edelweiss Bharat Bond ETFApril 2030 ETF,EBBETF0430,Debt
Bharat 22 ETF,ICICIB22,Equity
HDFC Gold ETF,HDFCMFGETF,Gold
Kotak Gold ETF,KOTAKGOLD,Gold
UTI Gold ETF,GOLDSHARE,Gold
HDFC Nifty 50 ETF,HDFCNIFETF,Equity
UTI Nifty Next 50 ETF,UTINEXT50,Equity
Mirae Asset Nifty 50 ETF,MAN50ETF,Equity
Quantum Gold ETF,QGOLDHALF,Gold
IDBI Gold ETF,IDBIGOLD,Gold
HDFC Sensex 30 ETF,HDFCSENETF,Equity
ICICI Prudential Nifty Next 50 ETF,ICICINXT50,Equity
Aditya Birla Sun Life Nifty Bank ETF,ABSLBANETF,Equity
SBI 10 year Gilt ETF,SETF10GILT,Debt
SBI Nifty 200 Quality 30 ETF,SBIETFQLTY,Equity
Indiabulls Nifty 50 ETF,IBMFNIFTY,Equity
Nippon India ETF Nifty IT,ITBEES,Equity
UTI Sensex Next 50 ETF,UTISXN50,Equity
IDFC Nifty 50 ETF,IDFNIFTYET,Equity
ICICI Prudential BSE 500 ETF,ICICI500,Equity
Aditya Birla Sun Life Nifty Next 50 ETF,ABSLNN50ET,Equity
Tata Nifty 50 ETF,NETF,Equity
Tata Nifty Private Bank ETF,NPBET,Equity
Mirae Asset Nifty Next 50 ETF,MANXT50,Equity
