Name,Ticker,Sub-Sector
Aakash Exploration Services Ltd,AAKASH,Oil & Gas - Equipment & Services
Aban Offshore Limited,ABAN,Oil & Gas - Equipment & Services
Advance Petrochemicals Ltd,ADVPETR-B,Oil & Gas - Refining & Marketing
AEGIS LOGISTICS LIMITED,AEGISCHEM,Oil & Gas - Storage & Transportation
Alphageo (India) Ltd,ALPHAGEO,Oil & Gas - Equipment & Services
Ashoka Refineries Ltd,ASHOKRE,Oil & Gas - Refining & Marketing
Asian Energy Services Ltd,ASIANENE,Oil & Gas - Exploration & Production
Bharat Petroleum Corporation Ltd,BPCL,Oil & Gas - Refining & Marketing
Chennai Petroleum Corporation Limited,CHENNPETRO,Oil & Gas - Refining & Marketing
Confidence Futuristic Energetech Ltd,CFEL,Oil & Gas - Storage & Transportation
Confidence Petroleum India Ltd,CONFIPET,Oil & Gas - Storage & Transportation
DEEP ENERGY RESOURCES LIMITED,DEEPENR,Oil & Gas - Equipment & Services
Deep Industries Ltd,DEEPINDS,Oil & Gas - Equipment & Services
Duke Offshore Ltd,DUKEOFS,Oil & Gas - Equipment & Services
Gagan Gases Ltd,GAGAN,Oil & Gas - Storage & Transportation
Global Offshore Services Limited,GLOBOFFS,Oil & Gas - Equipment & Services
Great Eastern Shipping Company Ltd,GESHIP,Oil & Gas - Storage & Transportation
Gujarat Natural Resources Ltd,GNRL,Oil & Gas - Exploration & Production
Hindustan Oil Exploration Company Ltd,HINDOILEXP,Oil & Gas - Exploration & Production
Hindustan Petroleum Corp Ltd,HINDPETRO,Oil & Gas - Refining & Marketing
Indian Oil Corporation Ltd,IOC,Oil & Gas - Refining & Marketing
Jindal Drilling and Industries Ltd,JINDRILL,Oil & Gas - Equipment & Services
Kesar Terminals & Infrastructure Ltd,KTIL,Oil & Gas - Storage & Transportation
Kotyark Industries Ltd,KOTYARK,Oil & Gas - Refining & Marketing
Mangalore Refinery and Petrochemicals Ltd,MRPL,Oil & Gas - Refining & Marketing
Oil Country Tubular Ltd,OILCOUNTUB,Oil & Gas - Equipment & Services
Oil India Ltd,OIL,Oil & Gas - Exploration & Production
Oil & Natural Gas Corporation Limited,ONGC,Oil & Gas - Exploration & Production
Petronet LNG Ltd,PETRONET,Oil & Gas - Storage & Transportation
Rajasthan Cylinders and Containers Ltd,RCCL,Oil & Gas - Storage & Transportation
Reliance Industrial Infrastructure Ltd,RIIL,Oil & Gas - Storage & Transportation
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing
Seamec Limited,SEAMECLTD,Oil & Gas - Equipment & Services
Selan Exploration Technology Ltd,SELAN,Oil & Gas - Exploration & Production
Sri Havisha Hospitality and Infrastructure Limited,HAVISHA,Oil & Gas - Storage & Transportation
Trishakti Electronics and Industries Ltd,TRISHAKT,Oil & Gas - Equipment & Services
United Drilling Tools Ltd,UNIDT,Oil & Gas - Equipment & Services
