Name,Ticker,Sub-Sector
ANG Lifesciences India Ltd,ANG,Pharmaceuticals
Aarey Drugs and Pharmaceuticals Ltd,AAREYDRUGS,Pharmaceuticals
Aarti Drugs Ltd,AARTIDRUGS,Pharmaceuticals
Abbott India Ltd,ABBOTINDIA,Pharmaceuticals
Adline Chem Lab Ltd,ADLINE,Pharmaceuticals
Ajanta Pharma Ltd,AJANTPHARM,Pharmaceuticals
Ajooni Biotech Ltd,AJOONI,Pharmaceuticals
Albert David Ltd,ALBERTDAVD,Pharmaceuticals
Alchemist Ltd,ALCHEM,Pharmaceuticals
ALEMBIC LIMITED,ALEMBICLTD,Pharmaceuticals
Alembic Pharmaceuticals Ltd,APLLTD,Pharmaceuticals
Alkem Laboratories Ltd,ALKEM,Pharmaceuticals
Alpa Laboratories Ltd,ALPA,Pharmaceuticals
Ambalal Sarabhai Enterprises Ltd,AMBALALSA,Pharmaceuticals
Ami Organics Ltd,AMIORG,Pharmaceuticals
Amrutanjan Health Care Ltd,AMRUTANJAN,Pharmaceuticals
Anuh Pharma Ltd,ANUHPHR,Pharmaceuticals
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Hospitals & Diagnostic Centres
Aspira Pathlab & Diagnostics Ltd,ASPIRA,Hospitals & Diagnostic Centres
Aster DM Healthcare Ltd,ASTERDM,Hospitals & Diagnostic Centres
AstraZeneca Pharma India Limited,ASTRAZEN,Pharmaceuticals
Auro Laboratories Ltd,AUROLAB,Pharmaceuticals
Aurobindo Pharma Ltd,AUROPHARMA,Pharmaceuticals
BDH Industries Ltd,BDH,Pharmaceuticals
Bacil Pharma Ltd,BACPHAR,Pharmaceuticals
Bafna Pharmaceuticals Ltd,BAFNAPH,Pharmaceuticals
Bajaj Healthcare Ltd,BAJAJHCARE,Pharmaceuticals
Bal Pharma Ltd,BALPHARMA,Pharmaceuticals
BALAXI PHARMACEUTICALS LIMITED,BALAXI,Health Care Equipment & Supplies
Beryl Drugs Ltd,BERLDRG,Pharmaceuticals
Beta Drugs Ltd,BETA,Pharmaceuticals
Bharat Immunologicals and Biologicals Corporation Ltd,BIBCL,Pharmaceuticals
Bharat Parenterals Ltd,BPLPHARMA,Pharmaceuticals
Bijoy Hans Ltd,BIJHANS,Pharmaceuticals
Bilcare Ltd,BI,Labs & Life Sciences Services
Biocon Ltd,BIOCON,Biotechnology
Biofil Chemicals and Pharmaceuticals Ltd,BIOFILCHEM,Pharmaceuticals
Bliss GVS Pharma Ltd,BLISSGVS,Pharmaceuticals
Brooks Laboratories Ltd,BROOKS,Labs & Life Sciences Services
Caplin Point Laboratories Ltd,CAPLIPOINT,Pharmaceuticals
Centenial Surgical Suture Ltd,CSURGSU,Health Care Equipment & Supplies
Chennai Meenakshi Multispeciality Hospital Ltd,CMMHOSP,Hospitals & Diagnostic Centres
Cian Healthcare Ltd,CHCL,Pharmaceuticals
Cipla Ltd,CIPLA,Pharmaceuticals
Colinz Laboratories Ltd,COLINZ,Pharmaceuticals
Concord Drugs Ltd,CONCORD,Pharmaceuticals
Constronics Infra Ltd,CONSTRONIC,Health Care Equipment & Supplies
Coral Laboratories Ltd,CORALAB,Pharmaceuticals
Decipher Labs Ltd,DECIPHER,Pharmaceuticals
Denis Chem Lab Ltd,DENISCHEM,Pharmaceuticals
Desh Rakshak Aushdhalaya Ltd,DESHRAK,Pharmaceuticals
Dhanvantri Jeevan Rekha Ltd,ZDHJERK,Hospitals & Diagnostic Centres
Dhruv Wellness Ltd,DWL,Pharmaceuticals
Dishman Carbogen Amcis Ltd,DCAL,Labs & Life Sciences Services
Divi's Laboratories Ltd,DIVISLAB,Labs & Life Sciences Services
Dr Agarwal's Eye Hospital Ltd,DRAGARWQ,Hospitals & Diagnostic Centres
Dr Habeebullah Life Sciences Ltd,DRHABEEB,Labs & Life Sciences Services
Dr Lalchandani Labs Ltd,DLCL,Hospitals & Diagnostic Centres
Dr Reddy's Laboratories Ltd,DRREDDY,Pharmaceuticals
Dr. Lal PathLabs Ltd,LALPATHLAB,Hospitals & Diagnostic Centres
Equippp Social Impact Technologies Limited,EQUIPPP,Biotechnology
Eris Lifesciences Ltd,ERIS,Pharmaceuticals
Everest Organics Ltd,EVERESTO,Pharmaceuticals
F D C Ltd,FDC,Pharmaceuticals
Fermenta Biotech Ltd,FERMENTA,Pharmaceuticals
Fortis Healthcare Limited,FORTIS,Hospitals & Diagnostic Centres
Fortis Malar Hospitals Ltd,FORTISMLR,Hospitals & Diagnostic Centres
Fredun Pharmaceuticals Ltd,FREDUN,Pharmaceuticals
GKB Ophthalmics Ltd,GKB,Health Care Equipment & Supplies
Ganga Pharmaceuticals Ltd,GANGAPHARM,Pharmaceuticals
Gennex Laboratories Ltd,GENNEX,Pharmaceuticals
Genomic Valley Biotech Ltd,GVBL,Biotechnology
Gland Pharma Ltd,GLAND,Pharmaceuticals
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,Pharmaceuticals
Glenmark Life Sciences Ltd,GLS,Pharmaceuticals
Glenmark Pharmaceuticals Ltd,GLENMARK,Pharmaceuticals
Godavari Drugs Ltd,GODAVARI,Pharmaceuticals
Granules India Ltd,GRANULES,Pharmaceuticals
Gufic Biosciences Ltd,GUFICBIO,Pharmaceuticals
Gujarat Terce Laboratories Ltd,GUJTERC,Pharmaceuticals
Gujarat Themis Biosyn Ltd,GUJTHEM,Pharmaceuticals
