Name,Ticker,Sub-Sector
3M India Limited,3MINDIA,Stationery
A B Infrabuild Ltd,ABINFRA,Construction & Engineering
A Infrastructure Ltd,AINFRA,Industrial Machinery
A2Z INFRA ENGINEERING LIMITED,A2ZINFRA,Construction & Engineering
ABB India Limited,ABB,Heavy Electrical Equipments
ABC India Ltd,ABCINDQ,Logistics
AGS Transact Technologies Ltd,AGSTRA,Business Support Services
AIA Engineering Ltd,AIAENG,Industrial Machinery
AJR INFRA AND TOLLING LIMITED,AJRINFRA,Construction & Engineering
AKG Exim Ltd,AKG,Commodities Trading
ANI Integrated Services Ltd,AISL,Construction & Engineering
APL Apollo Tubes Ltd,APLAPOLLO,Building Products - Pipes
ARSS Infrastructure Projects Ltd,ARSSINFRA,Construction & Engineering
ASL Industries Ltd,ASLIND,Industrial Machinery
ATV Projects India Ltd,ATVPR,Industrial Machinery
AVG Logistics Ltd,AVG,Logistics
AVI Polymers Ltd,AVI,Commodities Trading
GE Power India Limited,GEPIL,Commodities Trading
Aaron Industries Ltd,AARON,Heavy Electrical Equipments
Aartech Solonics Ltd,AARTECH,Electrical Components & Equipments
Abans Enterprises Ltd,ABANSENT,Commodities Trading
Abhishek Infraventures Ltd,ABHIINFRA,Construction & Engineering
Abhishek Integrations Ltd,AILIMITED,Construction & Engineering
Accuracy Shipping Ltd,ACCURACY,Logistics
Acrow India Ltd,ACROW,Industrial Machinery
Acrysil Ltd,ACRYSIL,Building Products - Granite
Action Construction Equipment Ltd,ACE,Heavy Machinery
Adani Enterprises Limited,ADANIENT,Commodities Trading
Adani Ports and Special Economic Zone Limited,ADANIPORTS,Ports
Adarsh Mercantile Ltd,ADARSH,Commodities Trading
Adarsh Plant Protect Ltd,ADARSHPL,Agricultural & Farm Machinery
Ador Fontech Ltd,ADORFO,Industrial Machinery
Ador Welding Limited,ADORWELD,Industrial Machinery
Advance Metering Technology Ltd,AMTL,Electrical Components & Equipments
Agrimony Commodities Ltd,AGRIMONY,Commodities Trading
Ahluwalia Contracts (India) Ltd,AHLUCONT,Construction & Engineering
Ahmedabad Steel Craft Ltd,AHMDSTE,Commodities Trading
AiroLam Ltd,AIROLAM,Building Products - Laminates
Akash Infra-Projects Ltd,AKASH,Construction & Engineering
Alfa Transformers Ltd,ALFATRAN,Heavy Electrical Equipments
Alfred Herbert (India) Ltd,ALFREDHE,Industrial Machinery
Allcargo Logistics Limited,ALLCARGO,Logistics
Amalgamated Electricity Company Ltd,AMALGAM,Electrical Components & Equipments
Amara Raja Batteries Ltd,AMARAJABAT,Batteries
Amba Enterprises Ltd,AEL,Electrical Components & Equipments
Ambition Mica Ltd,AMBITION,Building Products - Laminates
Amerise Biosciences Ltd,AMERISE,Commodities Trading
Amit International Ltd,AMITINT,Commodities Trading
Amrapali Industries Ltd,AMRAPLIN,Commodities Trading
Amraworld Agrico Ltd,AMRAAGRI,Commodities Trading
Anand Projects Ltd,ANANDPROJ,Construction & Engineering
Anik Industries Limited,ANIKINDS,Commodities Trading
Anmol India Ltd,ANMOL,Commodities Trading
Apar Industries Ltd,APARINDS,Electrical Components & Equipments
Apollo Pipes Ltd,APOLLOPIPE,Building Products - Pipes
Aro Granite Industries Ltd,AROGRANITE,Building Products - Granite
Arshiya Limited,ARSHIYA,Logistics
Artefact Projects Ltd,ARTEFACT,Construction & Engineering
Artemis Electricals and Projects Ltd,AEPL,Electrical Components & Equipments
Artemis Medicare Services Ltd,ARTEMISMED,Business Support Services
Artson Engineering Ltd,ARTSONEN,Construction & Engineering
Ashish Polyplast Ltd,ASHISHPO,Building Products - Pipes
Ashok Leyland Ltd,ASHOKLEY,Trucks & Buses
