Name,Ticker,Sub-Sector
Tata Consultancy Services Ltd,TCS,IT Services & Consulting
HCL Technologies Ltd,HCLTECH,IT Services & Consulting
Wipro Ltd,WIPRO,IT Services & Consulting
Tech Mahindra Ltd,TECHM,IT Services & Consulting
Larsen & Toubro Infotech Ltd,LTI,IT Services & Consulting
Bharat Electronics Ltd,BEL,Electronic Equipments
Hexaware Technologies Ltd,HEXAWARE,IT Services & Consulting
Persistent Systems Ltd,PERSISTENT,Software Services
Tata Elxsi Ltd,TATAELXSI,Software Services
Redington (India) Ltd,REDINGTON,Technology Hardware
Firstsource Solutions Ltd,FSL,Outsourced services
Sonata Software Ltd,SONATSOFTW,IT Services & Consulting
Intellect Design Arena Ltd,INTELLECT,Software Services
KPIT Technologies Ltd,KPITTECH,IT Services & Consulting
Eclerx Services Ltd,ECLERX,Outsourced services
Newgen Software Technologies Ltd,NEWGEN,Software Services
Mastek Ltd,MASTEK,IT Services & Consulting
R Systems International Ltd,RSYSTEMS,IT Services & Consulting
Astra Micro Wave Products Ltd,ASTRAMICRO,Communication & Networking
Nucleus Software Exports Ltd,NUCLEUS,Software Services
BLS International Services Ltd,BLS,Outsourced services
Quick Heal Technologies Ltd,QUICKHEAL,IT Services & Consulting
Cigniti Technologies Ltd,CIGNITITEC,Software Services
Take Solutions Ltd,TAKE,IT Services & Consulting
Zen Technologies Ltd,ZENTEC,Electronic Equipments
3i Infotech Ltd,3IINFOTECH,IT Services & Consulting
Ramco Systems Ltd,RAMCOSYS,IT Services & Consulting
Control Print Ltd,CONTROLPR,Electronic Equipments
Cerebra Integrated Technologies Ltd,CEREBRAINT,Technology Hardware
D-Link (India) Ltd,DLINKINDIA,Technology Hardware
Onmobile Global Ltd,ONMOBILE,Software Services
Allsec Technologies Ltd,ALLSEC,IT Services & Consulting
Infobeans Technologies Ltd,INFOBEAN,Software Services
Apollo Micro Systems Ltd,APOLLO,Electronic Equipments
Saksoft Ltd,SAKSOFT,IT Services & Consulting
Kellton Tech Solutions Ltd,KELLTONTEC,IT Services & Consulting
Optiemus Infracom Ltd,OPTIEMUS,Technology Hardware
TVS Electronics Ltd,TVSELECT,Technology Hardware
Airan Ltd,AIRAN,IT Services & Consulting
Xelpmoc Design and Tech Ltd,XELPMOC,IT Services & Consulting
Cybertech Systems and Software Ltd,CYBERTECH,IT Services & Consulting
Silver Touch Technologies Ltd,SILVERTUC,IT Services & Consulting
Aurionpro Solutions Ltd,AURIONPRO,IT Services & Consulting
Onward Technologies Ltd,ONWARDTEC,Outsourced services
Genesys International Corporation Ltd,GENESYS,IT Services & Consulting
Innovana Thinklabs Ltd,INNOVANA,Software Services
Aksh Optifibre Ltd,AKSHOPTFBR,Communication & Networking
Allied Digital Services Ltd,ADSL,IT Services & Consulting
Rolta India Ltd,ROLTA,IT Services & Consulting
PG Electroplast Ltd,PGEL,Electronic Equipments
FCS Software Solutions Ltd,FCSSOFT,Software Services
Compuage Infocom Ltd,COMPINFO,Technology Hardware
Intense Technologies Ltd,INTENTECH,IT Services & Consulting
Panache Digilife Ltd,PANACHE,Technology Hardware
Nitiraj Engineers Ltd,NITIRAJ,Electronic Equipments
Mindteck (India) Ltd,MINDTECK,IT Services & Consulting
DEV Information Technology Ltd,DEVIT,IT Services & Consulting
HOV Services Ltd,HOVS,Outsourced services
Aarvi Encon Ltd,AARVI,Outsourced services
SoftTech Engineers Ltd,SOFTTECH,Software Services
Cambridge Technology Enterprises Ltd,CTE,IT Services & Consulting
E2E Networks Ltd,E2E,Software Services
Tera Software Ltd,TERASOFT,IT Services & Consulting
Megasoft Ltd,MEGASOFT,IT Services & Consulting
One Point One Solutions Ltd,ONEPOINT,Outsourced services
Reliable Data Services Ltd,RELIABLE,Outsourced services
DC Infotech and Communication Ltd,DCI,IT Services & Consulting
Dynacons Systems and Solutions Ltd,DSSL,IT Services & Consulting
Kernex Microsystems (India) Ltd,KERNEX,Software Services
Palred Technologies Ltd,PALREDTEC,IT Services & Consulting
Cadsys ( India ) Ltd,CADSYS,IT Services & Consulting
Fourth Dimension Solutions Ltd,FOURTHDIM,IT Services & Consulting
Ksolves India Ltd,KSOLVES,IT Services & Consulting
Goldstone Technologies Ltd,GOLDTECH,IT Services & Consulting
Jindal Photo Ltd,JINDALPHOT,Electronic Equipments
Trejhara Solutions Ltd,TREJHARA,IT Services & Consulting
California Software Company Ltd,CALSOFT,IT Services & Consulting
Pulz Electronics Ltd,PULZ,Electronic Equipments
Zicom Electronic Security Systems Ltd,ZICOM,Electronic Equipments
Melstar Information Technologies Ltd,MELSTAR,IT Services & Consulting
Euro Multivision Ltd,EUROMULTI,Technology Hardware
