Name,Ticker,Sub-Sector
Hindustan Zinc Ltd,HINDZINC,Mining - Diversified
Coal India Ltd,COALINDIA,Mining - Coal
Pidilite Industries Ltd,PIDILITIND,Diversified Chemicals
Berger Paints India Ltd,BERGEPAINT,Paints
Grasim Industries Ltd,GRASIM,Cement
Hindalco Industries Ltd,HINDALCO,Metals - Aluminium
PI Industries Ltd,PIIND,Diversified Chemicals
NMDC Ltd,NMDC,Mining - Iron Ore
Bayer CropScience Ltd,BAYERCROP,Fertilizers & Agro Chemicals
Bharat Forge Ltd,BHARATFORG,Iron & Steel
Jindal Steel And Power Ltd,JINDALSTEL,Iron & Steel
Aarti Industries Ltd,AARTIIND,Specialty Chemicals
Supreme Industries Ltd,SUPREMEIND,Plastic Products
Steel Authority of India Ltd,SAIL,Iron & Steel
Sumitomo Chemical India Ltd,SUMICHEM,Commodity Chemicals
Godrej Industries Ltd,GODREJIND,Diversified Chemicals
J K Cement Ltd,JKCEMENT,Cement
Castrol India Ltd,CASTROLIND,Commodity Chemicals
Vinati Organics Ltd,VINATIORGA,Specialty Chemicals
Navin Fluorine International Ltd,NAVINFLUOR,Specialty Chemicals
Deepak Nitrite Ltd,DEEPAKNTR,Commodity Chemicals
Tata Chemicals Ltd,TATACHEM,Diversified Chemicals
KIOCL Ltd,KIOCL,Iron & Steel
Chambal Fertilisers and Chemicals Ltd,CHAMBLFERT,Fertilizers & Agro Chemicals
Fine Organic Industries Ltd,FINEORG,Specialty Chemicals
National Aluminium Co Ltd,NATIONALUM,Metals - Aluminium
BASF India Ltd,BASF,Diversified Chemicals
Rallis India Ltd,RALLIS,Fertilizers & Agro Chemicals
Galaxy Surfactants Ltd,GALAXYSURF,Specialty Chemicals
Alkyl Amines Chemicals Ltd,ALKYLAMINE,Specialty Chemicals
Gujarat Fluorochemicals Ltd,FLUOROCHEM,Specialty Chemicals
IOL Chemicals and Pharmaceuticals Ltd,IOLCP,Commodity Chemicals
Dhanuka Agritech Ltd,DHANUKA,Fertilizers & Agro Chemicals
Bharat Rasayan Ltd,BHARATRAS,Fertilizers & Agro Chemicals
Mishra Dhatu Nigam Ltd,MIDHANI,Metals - Diversified
Rossari Biotech Ltd,ROSSARI,Specialty Chemicals
India Cements Ltd,INDIACEM,Cement
Star Cement Ltd,STARCEMENT,Cement
Century Textile and Industries Ltd,CENTURYTEX,Cement
Hindustan Copper Ltd,HINDCOPPER,Mining - Copper
Moil Ltd,MOIL,Mining - Manganese
JK Lakshmi Cement Ltd,JKLAKSHMI,Cement
Fertilisers And Chemicals Travancore Ltd,FACT,Fertilizers & Agro Chemicals
Gulf Oil Lubricants India Ltd,GULFOILLUB,Commodity Chemicals
Century Plyboards (India) Ltd,CENTURYPLY,Wood Products
Rashtriya Chemicals and Fertilizers Ltd,RCF,Fertilizers & Agro Chemicals
Sudarshan Chemical Industries Ltd,SUDARSCHEM,Diversified Chemicals
Sharda Cropchem Ltd,SHARDACROP,Fertilizers & Agro Chemicals
Gujarat Alkalies And Chemicals Ltd,GUJALKALI,Commodity Chemicals
National Fertilizers Ltd,NFL,Fertilizers & Agro Chemicals
Astec Lifesciences Ltd,ASTEC,Fertilizers & Agro Chemicals
Balaji Amines Ltd,BALAMINES,Specialty Chemicals
Polyplex Corporation Ltd,POLYPLEX,Commodity Chemicals
Advanced Enzyme Technologies Ltd,ADVENZYMES,Specialty Chemicals
JK Paper Ltd,JKPAPER,Paper Products
Supreme Petrochem Ltd,SUPPETRO,Specialty Chemicals
Jindal Stainless (Hisar) Ltd,JSLHISAR,Iron & Steel
Ramco Industries Ltd,RAMCOIND,Cement
Tinplate Company of India Ltd,TINPLATE,Iron & Steel
Meghmani Organics Ltd,MEGH,Commodity Chemicals
Tide Water Oil Co India Ltd,TIDEWATER,Commodity Chemicals
Tata Metaliks Ltd,TATAMETALI,Iron & Steel
Orient Cement Ltd,ORIENTCEM,Cement
Gujarat Mineral Development Corporation Ltd,GMDCLTD,Mining - Diversified
Maithan Alloys Ltd,MAITHANALL,Iron & Steel
Neogen Chemicals Ltd,NEOGEN,Specialty Chemicals
Deepak Fertilisers and Petrochemicals Corp Ltd,DEEPAKFERT,Fertilizers & Agro Chemicals
Seya Industries Ltd,SEYAIND,Specialty Chemicals
Orissa Minerals Development Company Ltd,ORISSAMINE,Mining - Diversified
Oriental Aromatics Ltd,OAL,Specialty Chemicals
S H Kelkar And Company Ltd,SHK,Specialty Chemicals
Sagar Cements Ltd,SAGCEM,Cement
Greenply Industries Ltd,GREENPLY,Wood Products
Kirloskar Ferrous Industries Ltd,KIRLFER,Iron & Steel
Excel Industries Ltd,EXCELINDUS,Fertilizers & Agro Chemicals
Satia Industries Ltd,SATIA,Paper Products
Kalyani Steels Ltd,KSL,Iron & Steel
Seshasayee Paper and Boards Ltd,SESHAPAPER,Paper Products
Bodal Chemicals Ltd,BODALCHEM,Commodity Chemicals
Insecticides (India) Ltd,INSECTICID,Fertilizers & Agro Chemicals
Time Technoplast Ltd,TIMETECHNO,Plastic Products
India Glycols Ltd,INDIAGLYCO,Commodity Chemicals
Bhansali Engg Polymers Ltd,BEPL,Commodity Chemicals
Andhra Sugars Ltd,ANDHRSUGAR,Commodity Chemicals
Oriental Carbon & Chemicals Ltd,OCCL,Commodity Chemicals
Gallantt Ispat Ltd,GALLISPAT,Iron & Steel
Tamilnadu Newsprint & Papers Ltd,TNPL,Paper Products
Cosmo Films Ltd,COSMOFILMS,Packaging
Shree Digvijay Cement Co Ltd,SHREDIGCEM,Cement
Camlin Fine Sciences Ltd,CAMLINFINE,Specialty Chemicals
KCP Ltd,KCP,Cement
Foseco India Ltd,FOSECOIND,Specialty Chemicals
Surya Roshni Ltd,SURYAROSNI,Iron & Steel
Sirca Paints India Ltd,SIRCA,Paints
Sarda Energy & Minerals Ltd,SARDAEN,Iron & Steel
Godawari Power and Ispat Ltd,GPIL,Iron & Steel
Mold-Tek Packaging Ltd,MOLDTKPAC,Plastic Products
Thirumalai Chemicals Ltd,TIRUMALCHM,Commodity Chemicals
Sanghi Industries Ltd,SANGHIIND,Cement
Prakash Industries Ltd,PRAKASH,Iron & Steel
Max Ventures and Industries Ltd,MAXVIL,Packaging
Kingfa Science and Technology (India) Ltd,KINGFA,Commodity Chemicals
Bhageria Industries Ltd,BHAGERIA,Specialty Chemicals
Mangalam Cement Ltd,MANGLMCEM,Cement
Shrenik Ltd,SHRENIK,Paper Products
I G Petrochemicals Ltd,IGPL,Specialty Chemicals
Kuantum Papers Ltd,KUANTUM,Paper Products
MM Forgings Ltd,MMFL,Iron & Steel
Greenpanel Industries Ltd,GREENPANEL,Wood Products
Ester Industries Ltd,ESTER,Commodity Chemicals
Indian Metals and Ferro Alloys Ltd,IMFA,Iron & Steel
Nelcast Ltd,NELCAST,Iron & Steel
Visaka Industries Ltd,VISAKAIND,Cement
Emami Paper Mills Ltd,EMAMIPAP,Paper Products
Southern Petrochemical Industries Corporation Ltd,SPIC,Fertilizers & Agro Chemicals
Plastiblends India Ltd,PLASTIBLEN,Specialty Chemicals
Uniphos Enterprises Ltd,UNIENTER,Fertilizers & Agro Chemicals
Mangalore Chemicals and Fertilisers Ltd,MANGCHEFER,Fertilizers & Agro Chemicals
Pokarna Ltd,POKARNA,Cement
Orient Paper and Industries Ltd,ORIENTPPR,Paper Products
Zuari Agro Chemicals Ltd,ZUARI,Fertilizers & Agro Chemicals
Anjani Portland Cement Ltd,APCL,Cement
N R Agarwal Industries Ltd,NRAIL,Paper Products
Ncl Industries Ltd,NCLIND,Cement
Deccan Cements Ltd,DECCANCE,Cement
