Name,Ticker,Sub-Sector
DLF Ltd,DLF,Real Estate
Embassy Office Parks REIT,EMBASSY,Real Estate
Godrej Properties Ltd,GODREJPROP,Real Estate
Oberoi Realty Ltd,OBEROIRLTY,Real Estate
Phoenix Mills Ltd,PHOENIXLTD,Real Estate
Prestige Estates Projects Ltd,PRESTIGE,Real Estate
Nesco Ltd,NESCO,Real Estate
Brigade Enterprises Ltd,BRIGADE,Real Estate
Sunteck Realty Ltd,SUNTECK,Real Estate
Indiabulls Real Estate Ltd,IBREALEST,Real Estate
Omaxe Ltd,OMAXE,Real Estate
Kolte-Patil Developers Ltd,KOLTEPATIL,Real Estate
Ashiana Housing Ltd,ASHIANA,Real Estate
Unitech Ltd,UNITECH,Real Estate
Marathon Nextgen Realty Ltd,MARATHON,Real Estate
D B Realty Ltd,DBREALTY,Real Estate
Vipul Ltd,VIPULLTD,Real Estate
Nila Infrastructures Ltd,NILAINFRA,Real Estate
Housing Development and Infrastructure Ltd,HDIL,Real Estate
Parsvnath Developers Ltd,PARSVNATH,Real Estate
Oswal Agro Mills Ltd,OSWALAGRO,Real Estate
TCI Developers Ltd,TCIDEVELOP,Real Estate
Poddar Housing and Development Ltd,PODDARHOUS,Real Estate
Coral India Finance and Housing Ltd,CORALFINAC,Real Estate
Arihant Superstructures Ltd,ARIHANTSUP,Real Estate
Motor and General Finance Ltd,MOTOGENFIN,Real Estate
Bhagyanagar Properties Ltd,BHAGYAPROP,Real Estate
Rudrabhishek Enterprises Ltd,REPL,Real Estate
Nila Spaces Ltd,NILASPACES,Real Estate
Sumit Woods Ltd,SUMIT,Real Estate
Landmark Property Development Co Ltd,LPDC,Real Estate
Arihant Foundations & Housing Ltd,ARIHANT,Real Estate
Pushpanjali Realms and Infratech Ltd,PUSHPREALM,Real Estate
