Name,Ticker,Sub-Sector
52 Weeks Entertainment Ltd,SHAQUAK,Movies & TV Serials
Accel Ltd,ACCEL,Movies & TV Serials
Accord Synergy Ltd,ACCORD,Telecom Services
Affle (India) Ltd,AFFLE,Advertising
Alan Scott Industriess Ltd,ALAN SCOTT,Movies & TV Serials
B.A.G. Films and Media Ltd,BAGFILMS,Movies & TV Serials
Baba Arts Ltd,BABA,Movies & TV Serials
Balaji Telefilms Ltd,BALAJITELE,Movies & TV Serials
Bharti Airtel Ltd,BHARTIARTL,Telecom Services
Birla Cable Ltd,BIRLACABLE,Telecom Equipments
Bodhi Tree Multimedia Ltd,BTML,Movies & TV Serials
Brightcom Group Ltd,BCG,Advertising
Cartrade Tech Ltd,CARTRADE,Online Services
Cinerad Communications Ltd,CINERAD,Advertising
Cinevista Ltd,CINEVISTA,Movies & TV Serials
Citizen Infoline Ltd,CIL,Online Services
City Online Services Ltd,CITYONLINE,Cable & D2H
Colorchips New Media Ltd,COLORCHIPS,Movies & TV Serials
Creative Eye Ltd,CREATIVEYE,Movies & TV Serials
Cyber Media India Ltd,CYBERMEDIA,Publishing
DB Corp Ltd,DBCORP,Publishing
DEN Networks Ltd,DEN,Cable & D2H
DRC Systems India Ltd,DRCSYSTEMS,Advertising
DSJ Keep Learning Ltd,KEEPLEARN,Publishing
Digicontent Ltd,DGCONTENT,Online Services
Digispice Technologies Ltd,DIGISPICE,Telecom Equipments
Diksat Transworld Ltd,DIKSAT,TV Channels & Broadcasters
Diligent Media Corporation Ltd,DNAMEDIA,Publishing
Dish TV India Ltd,DISHTV,Cable & D2H
Encode Packaging India Ltd,ENCODE,Publishing
Entertainment Network (India) Ltd,ENIL,Radio
Eros International Media Ltd,EROSMEDIA,Movies & TV Serials
Esha Media Research Ltd,ESHAMEDIA,Advertising
GTL Infrastructure Ltd,GTLINFRA,Telecom Infrastructure
GTL Ltd,GTL,Telecom Infrastructure
GTPL Hathway Ltd,GTPL,Cable & D2H
GV Films Ltd,GVFILM,Movies & TV Serials
Ganesh Films India Ltd,GFIL,Movies & TV Serials
Gradiente Infotainment Ltd,GRADIENTE,Movies & TV Serials
HFCL Ltd,HFCL,Telecom Equipments
HT Media Ltd,HTMEDIA,Publishing
Hathway Bhawani Cabletel and Datacom Ltd,HATHWAYB,Cable & D2H
Hathway Cable and Datacom Ltd,HATHWAY,Cable & D2H
Hindustan Media Ventures Ltd,HMVL,Publishing
IDream Film Infrastructure Company Ltd,SOFTBPO,Movies & TV Serials
INOX Leisure Ltd,INOXLEISUR,Theatres
ITI Ltd,ITI,Telecom Equipments
Indiamart Intermesh Ltd,INDIAMART,Online Services
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,Online Services
Indus Towers Ltd,INDUSTOWER,Telecom Infrastructure
Info Edge (India) Ltd,NAUKRI,Online Services
Infomedia Press Ltd,INFOMEDIA,Publishing
Jagran Prakashan Ltd,JAGRAN,Publishing
Jupiter Infomedia Ltd,JUPITERIN,Publishing
Just Dial Ltd,JUSTDIAL,Online Services
KSS Ltd,KSERASERA,Movies & TV Serials
Kome-on Communication Ltd,KOCL,Movies & TV Serials
MPS Ltd,MPSLTD,Publishing
Madhuveer Com 18 Network Ltd,MADHUVEER,Movies & TV Serials
Madhya Pradesh Today Media Ltd,MPTODAY,Publishing
Mahanagar Telephone Nigam Ltd,MTNL,Telecom Services
Matrimony.Com Ltd,MATRIMONY,Online Services
MedPlus Health Services Ltd,MEDPLUS,Online Services
Media Matrix Worldwide Ltd,MMWL,Advertising
Mediaone Global Entertainment Ltd,MEDIAONE,Movies & TV Serials
Mukta Arts Ltd,MUKTAARTS,Movies & TV Serials
Music Broadcast Ltd,RADIOCITY,Radio
