Name,Ticker,Sub-Sector
Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products
ITC Ltd,ITC,FMCG - Tobacco
Nestle India Ltd,NESTLEIND,FMCG - Foods
Britannia Industries Ltd,BRITANNIA,FMCG - Foods
Dabur India Ltd,DABUR,FMCG - Personal Products
Godrej Consumer Products Ltd,GODREJCP,FMCG - Personal Products
Marico Ltd,MARICO,FMCG - Personal Products
United Spirits Ltd,MCDOWELL-N,Alcoholic Beverages
Colgate-Palmolive (India) Ltd,COLPAL,FMCG - Personal Products
Tata Consumer Products Ltd,TATACONSUM,Tea & Coffee
Procter & Gamble Hygiene and Health Care Ltd,PGHH,FMCG - Personal Products
United Breweries Ltd,UBL,Alcoholic Beverages
Ruchi Soya Industries Ltd,RUCHI,Packaged Foods & Meats
Varun Beverages Ltd,VBL,Soft Drinks
Gillette India Ltd,GILLETTE,FMCG - Personal Products
Emami Ltd,EMAMILTD,FMCG - Personal Products
Hatsun Agro Product Ltd,HATSUN,FMCG - Foods
Zydus Wellness Ltd,ZYDUSWELL,FMCG - Foods
Godrej Agrovet Ltd,GODREJAGRO,Agro Products
Bombay Burmah Trading Corporation Ltd,BBTC,Tea & Coffee
Avanti Feeds Ltd,AVANTIFEED,Packaged Foods & Meats
KRBL Ltd,KRBL,Packaged Foods & Meats
Radico Khaitan Ltd,RADICO,Alcoholic Beverages
E.I.D-Parry (India) Ltd,EIDPARRY,Sugar
VST Industries Ltd,VSTIND,FMCG - Tobacco
Godfrey Phillips India Ltd,GODFRYPHLP,FMCG - Tobacco
Jyothy Labs Ltd,JYOTHYLAB,FMCG - Household Products
Kaveri Seed Company Ltd,KSCL,Seeds
CCL Products India Ltd,CCL,Tea & Coffee
Tasty Bite Eatables Ltd,TASTYBITE,Packaged Foods & Meats
Balrampur Chini Mills Ltd,BALRAMCHIN,Sugar
Bajaj Consumer Care Ltd,BAJAJCON,FMCG - Personal Products
Future Consumer Ltd,FCONSUMER,FMCG - Foods
Gujarat Ambuja Exports Ltd,GAEL,Agro Products
Shree Renuka Sugars Ltd,RENUKA,Sugar
Bannari Amman Sugars Ltd,BANARISUG,Sugar
Tata Coffee Ltd,TATACOFFEE,Tea & Coffee
Venky's (India) Ltd,VENKEYS,Packaged Foods & Meats
Agro Tech Foods Ltd,ATFL,Packaged Foods & Meats
Hindustan Foods Ltd,HNDFDS,FMCG - Foods
LT Foods Ltd,DAAWAT,Packaged Foods & Meats
Heritage Foods Ltd,HERITGFOOD,FMCG - Foods
Triveni Engineering and Industries Ltd,TRIVENI,Sugar
Prataap Snacks Ltd,DIAMONDYD,Packaged Foods & Meats
DFM Foods Ltd,DFMFOODS,Packaged Foods & Meats
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Sugar
Dhampur Sugar Mills Ltd,DHAMPURSUG,Sugar
Parag Milk Foods Ltd,PARAGMILK,FMCG - Foods
Apex Frozen Foods Ltd,APEX,Packaged Foods & Meats
G M Breweries Ltd,GMBREW,Alcoholic Beverages
AVT Natural Products Ltd,AVTNPL,Agro Products
Bajaj Hindusthan Sugar Ltd,BAJAJHIND,Sugar
Nath Bio-Genes (I) Ltd,NATHBIOGEN,Agro Products
ADF Foods Ltd,ADFFOODS,Packaged Foods & Meats
Prabhat Dairy Ltd,PRABHAT,FMCG - Foods
CESC Ventures Ltd,CESCVENT,Packaged Foods & Meats
Dwarikesh Sugar Industries Ltd,DWARKESH,Sugar
Vadilal Industries Ltd,VADILALIND,FMCG - Foods
Associated Alcohols & Breweries Ltd,ASALCBR,Alcoholic Beverages
Waterbase Ltd,WATERBASE,Packaged Foods & Meats
Globus Spirits Ltd,GLOBUSSPR,Alcoholic Beverages
Ruchi Infrastructure Ltd,RUCHINFRA,Agro Products
Avadh Sugar & Energy Ltd,AVADHSUGAR,Sugar
Vishwaraj Sugar Industries Ltd,VISHWARAJ,Sugar
Uttam Sugar Mills Ltd,UTTAMSUGAR,Sugar
Rossell India Ltd,ROSSELLIND,Tea & Coffee
Cupid Ltd,CUPID,FMCG - Personal Products
IFB Agro Industries Ltd,IFBAGRO,Alcoholic Beverages
Tilaknagar Industries Ltd,TI,Alcoholic Beverages
Euro India Fresh Foods Ltd,EIFFL,FMCG - Foods
Vikas WSP Ltd,VIKASWSP,Agro Products
Gokul Refoils and Solvent Ltd,GOKUL,Packaged Foods & Meats
Gokul Agro Resources Ltd,GOKULAGRO,Packaged Foods & Meats
Sanwaria Consumer Ltd,SANWARIA,FMCG - Foods
SOM Distilleries and Breweries Ltd,SDBL,Alcoholic Beverages
Magadh Sugar & Energy Ltd,MAGADSUGAR,Sugar
KCP Sugar and Industries Corp Ltd,KCPSUGIND,Sugar
Vikas Proppant & Granite Ltd,VIKASPROP,Agro Products
Jubilant Industries Ltd,JUBLINDS,Alcoholic Beverages
Jay Shree Tea and Industries Ltd,JAYSREETEA,Tea & Coffee
Ugar Sugar Works Ltd,UGARSUGAR,Sugar
Harrisons Malayalam Ltd,HARRMALAYA,Agro Products
Pioneer Distilleries Ltd,PIONDIST,Alcoholic Beverages
United Nilgiri Tea Estates Company Ltd,UNITEDTEA,Tea & Coffee
Ponni Sugars (Erode) Ltd,PONNIERODE,Sugar
Dhunseri Tea & Industries Ltd,DTIL,Tea & Coffee
McLeod Russel India Ltd,MCLEODRUSS,Tea & Coffee
Kothari Sugars and Chemicals Ltd,KOTARISUG,Sugar
Mawana Sugars Ltd,MAWANASUG,Sugar
Sakthi Sugars Ltd,SAKHTISUG,Sugar
Aspinwall & Co Ltd,ASPINWALL,Tea & Coffee
Umang Dairies Ltd,UMANGDAIRY,FMCG - Foods
SKM Egg Products Export India Ltd,SKMEGGPROD,Packaged Foods & Meats
Bombay Super Hybrid Seeds Ltd,BSHSL,Seeds
Kwality Ltd,KWALITY,FMCG - Foods
Rana Sugars Ltd,RANASUG,Sugar
K M Sugar Mills Ltd,KMSUGAR,Sugar
Dangee Dums Ltd,DANGEE,FMCG - Foods
Karuturi Global Ltd,KGL,Agro Products
ShreeOswal Seeds and Chemicals Ltd,OSWALSEEDS,Seeds
Baba Agro Food Ltd,BABAFOOD,Packaged Foods & Meats
Shreeram Proteins Ltd,SRPL,Agro Products
Grob Tea Co Ltd,GROBTEA,Tea & Coffee
Rajshree Sugars & Chemicals Ltd,RAJSREESUG,Sugar
Golden Tobacco Ltd,GOLDENTOBC,FMCG - Tobacco
Kohinoor Foods Ltd,KOHINOOR,Packaged Foods & Meats
Peria Karamalai Tea and Produce Company Ltd,PKTEA,Tea & Coffee
M K Proteins Ltd,MKPL,FMCG - Household Products
Aurangabad Distillery Ltd,AURDIS,Alcoholic Beverages
Sarveshwar Foods Ltd,SARVESHWAR,Packaged Foods & Meats
Simbhaoli Sugars Ltd,SIMBHALS,Sugar
Shanti Overseas India Ltd,SHANTI,Packaged Foods & Meats
Dharani Sugars and Chemicals Ltd,DHARSUGAR,Sugar
Narmada Agrobase Ltd,NARMADA,Agro Products
Agri-Tech (India) Ltd,AGRITECH,Agro Products
Ravi Kumar Distilleries Ltd,RKDL,Alcoholic Beverages
Jvl Agro Industries Ltd,JVLAGRO,Packaged Foods & Meats
Continental Seeds and Chemicals Ltd,CONTI,Seeds
Norben Tea and Exports Ltd,NORBTEAEXP,Tea & Coffee
Thiru Arooran Sugars Ltd,THIRUSUGAR,Sugar
