Name,Ticker,Sub-Sector
Axis Gold ETF,AXISGOLD,Gold
CPSE ETF,CPSEETF,Equity
Edelweiss Bharat Bond ETFApril 2023 ETF,EBBETF0423,Debt
Edelweiss Bharat Bond ETFApril 2030 ETF,EBBETF0430,Debt
Nippon India Nifty Bank Bees ETF,BANKBEES,Equity
SBI Nifty 50 ETF,SETFNIF50,Equity
Bharat 22 ETF,ICICIB22,Equity
Kotak Nifty Bank ETF,KOTAKBKETF,Equity
Nippon India Gold Bees ETF,GOLDBEES,Gold
Nippon India Nifty 50 Bees ETF,NIFTYBEES,Equity
Nippon India Liquid Bees ETF,LIQUIDBEES,Debt
SBI Gold ETF,SETFGOLD,Gold
ICICI Prudential Gold ETF,ICICIGOLD,Gold
ICICI Prudential Nifty 50 ETF,ICICINIFTY,Equity
HDFC Gold ETF,HDFCMFGETF,Gold
Motilal Oswal NASDAQ 100 ETF,N100,Equity
Kotak Gold ETF,KOTAKGOLD,Gold
Nippon India Junior Bees ETF,JUNIORBEES,Equity
Kotak Nifty 50 ETF,KOTAKNIFTY,Equity
UTI Gold ETF,GOLDSHARE,Gold
HDFC Nifty 50 ETF,HDFCNIFETF,Equity
UTI Nifty Next 50 ETF,UTINEXT50,Equity
Aditya BSL Gold ETF,BSLGOLDETF,Gold
Nippon India Nifty Midcap 150 ETF,NETFMID150,Equity
Aditya BSL Nifty 50 ETF,BSLNIFTY,Equity
Mirae Asset Nifty 50 ETF,MAN50ETF,Equity
Axis Nifty 50 ETF,AXISNIFTY,Equity
SBI Nifty Bank ETF,SETFNIFBK,Equity
ICICI Prudential Nifty 100 Low Vol 30 ETF,ICICILOVOL,Equity
Quantum Gold ETF,QGOLDHALF,Gold
LIC MF GSEC Long Term ETF,LICNETFGSC,Debt
IDBI Gold ETF,IDBIGOLD,Gold
HDFC Sensex 30 ETF,HDFCSENETF,Equity
ICICI Prudential Nifty Next 50 ETF,ICICINXT50,Equity
Aditya Birla Sun Life Nifty Bank ETF,ABSLBANETF,Equity
Invesco India Gold ETF,IVZINGOLD,Gold
ICICI Prudential Liquid ETF,ICICILIQ,Debt
Nippon India Nifty PSU Bank Bees ETF,PSUBNKBEES,Equity
Motilal Oswal Nifty Midcap 100 ETF,M100,Equity
DSP BlackRock Liquid ETF,LIQUIDETF,Debt
ICICI Prudential Sensex 30 ETF,ICICISENSX,Equity
SBI 10 year Gilt ETF,SETF10GILT,Debt
Motilal Oswal Nifty 50 ETF,M50,Equity
Kotak Nifty PSU Bank ETF,KOTAKPSUBK,Equity
Nippon India NV20 ETF,NETFNV20,Equity
Edelweiss Nifty 100 Quality 30 ETF,EQ30,Equity
SBI Nifty 200 Quality 30 ETF,SBIETFQLTY,Equity
ICICI Prudential Sensex Midcap Select ETF,ICICIMCAP,Equity
Nippon India Hang Seng Bees ETF,HNGSNGBEES,Equity
SBI Nifty Next 50 ETF,SETFNN50,Equity
ICICI Prudential Nifty 100 ETF,ICICINF100,Equity
Nippon India Nifty India Consumption ETF,NETFCONSUM,Equity
Indiabulls Nifty 50 ETF,IBMFNIFTY,Equity
Nippon India ETF Nifty IT,NETFIT,Equity
Nippon India Nifty Infra Bees ETF,INFRABEES,Equity
Nippon India GSEC Long Term ETF,NETFLTGILT,Debt
ICICI Prudential NV20 ETF,ICICINV20,Equity
Quantum Nifty 50 ETF,QNIFTY,Equity
Nippon India Nifty 100 ETF,NETFNIF100,Equity
UTI Sensex Next 50 ETF,UTISXN50,Equity
Nippon India Nifty Shariah Bees ETF,SHARIABEES,Equity
Invesco India Nifty 50 ETF,IVZINNIFTY,Equity
Nippon India Nifty Dividend Opportunities ETF,NETFDIVOPP,Equity
IDFC Nifty 50 ETF,IDFNIFTYET,Equity
Edelweiss Nifty Bank ETF,EBANK,Equity
LIC MF Nifty 100 ETF,LICNFNHGP,Equity
Edelweiss Nifty 50 ETF,NIFTYEES,Equity
LIC MF Sensex 30 ETF,LICNETFSEN,Equity
LIC MF Nifty 50 ETF,LICNETFN50,Equity
Kotak NV20 ETF,KOTAKNV20,Equity
UTI Sensex 30 ETF,UTISENSETF,Equity
UTI Nifty 50 ETF,UTINIFTETF,Equity
ICICI Prudential BSE 500 ETF,ICICI500,Equity
Aditya Birla Sun Life Nifty Next 50 ETF,ABSLNN50ET,Equity
Tata Nifty 50 ETF,NETF,Equity
ICICI Prudential Nifty Bank ETF,ICICIBANKN,Equity
ICICI Prudential Nifty Private Bank ETF,ICICIBANKP,Equity
Tata Nifty Private Bank ETF,NPBET,Equity
ICICI Prudential Nifty Midcap 150 ETF,ICICIM150,Equity
Mirae Asset Nifty Next 50 ETF,MANXT50,Equity
