Name,Ticker,Sub-Sector
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing
Reliance Industries Ltd. - Partly Paid Up,RELIANCEPP,Oil & Gas - Refining & Marketing
Oil and Natural Gas Corporation Ltd,ONGC,Oil & Gas - Exploration & Production
Bharat Petroleum Corporation Ltd,BPCL,Oil & Gas - Refining & Marketing
Indian Oil Corporation Ltd,IOC,Oil & Gas - Refining & Marketing
Petronet LNG Ltd,PETRONET,Oil & Gas - Storage & Transportation
Hindustan Petroleum Corp Ltd,HINDPETRO,Oil & Gas - Refining & Marketing
Oil India Ltd,OIL,Oil & Gas - Exploration & Production
Aegis Logistics Ltd,AEGISCHEM,Oil & Gas - Storage & Transportation
Mangalore Refinery and Petrochemicals Ltd,MRPL,Oil & Gas - Refining & Marketing
Great Eastern Shipping Company Ltd,GESHIP,Oil & Gas - Storage & Transportation
Chennai Petroleum Corporation Ltd,CHENNPETRO,Oil & Gas - Refining & Marketing
Seamec Ltd,SEAMECLTD,Oil & Gas - Equipment & Services
Hindustan Oil Exploration Company Ltd,HINDOILEXP,Oil & Gas - Exploration & Production
Reliance Industrial Infrastructure Ltd,RIIL,Oil & Gas - Storage & Transportation
Confidence Petroleum India Ltd,CONFIPET,Oil & Gas - Storage & Transportation
Deep Industries Ltd,DEEPIND,Oil & Gas - Equipment & Services
Jindal Drilling and Industries Ltd,JINDRILL,Oil & Gas - Equipment & Services
Selan Exploration Technology Ltd,SELAN,Oil & Gas - Exploration & Production
Aban Offshore Ltd,ABAN,Oil & Gas - Equipment & Services
Alphageo (India) Ltd,ALPHAGEO,Oil & Gas - Equipment & Services
Aakash Exploration Services Ltd,AAKASH,Oil & Gas - Equipment & Services
Oil Country Tubular Ltd,OILCOUNTUB,Oil & Gas - Equipment & Services
Global Offshore Services Ltd,GLOBOFFS,Oil & Gas - Equipment & Services
