Name,Ticker,Sub-Sector
HDFC Bank Ltd,HDFCBANK,Private Banks
Housing Development Finance Corporation Ltd,HDFC,Home Financing
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks
ICICI Bank Ltd,ICICIBANK,Private Banks
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance
State Bank of India,SBIN,Public Banks
Axis Bank Ltd,AXISBANK,Private Banks
HDFC Life Insurance Company Ltd,HDFCLIFE,Insurance
Bajaj Finserv Ltd,BAJAJFINSV,Insurance
SBI Life Insurance Company Ltd,SBILIFE,Insurance
SBI Cards and Payment Services Ltd,SBICARD,Payment Infrastructure
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,Insurance
ICICI Lombard General Insurance Company Ltd,ICICIGI,Insurance
Bandhan Bank Ltd,BANDHANBNK,Private Banks
HDFC Asset Management Company Ltd,HDFCAMC,Asset Management
Muthoot Finance Ltd,MUTHOOTFIN,Consumer Finance
IDBI Bank Ltd,IDBI,Public Banks
Indusind Bank Ltd,INDUSINDBK,Private Banks
Yes Bank Ltd,YESBANK,Private Banks
Piramal Enterprises Ltd,PEL,Diversified Financials
Punjab National Bank,PNB,Public Banks
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,Asset Management
General Insurance Corporation of India,GICRE,Insurance
AU Small Finance Bank Ltd,AUBANK,Consumer Finance
Bank of Baroda Ltd,BANKBARODA,Public Banks
Power Finance Corporation Ltd,PFC,Specialized Finance
REC Ltd,RECLTD,Specialized Finance
Union Bank of India Ltd,UNIONBANK,Public Banks
New India Assurance Company Ltd,NIACL,Insurance
Shriram Transport Finance Company Ltd,SRTRANSFIN,Consumer Finance
Indian Overseas Bank,IOB,Public Banks
Mahindra and Mahindra Financial Services Ltd,M&MFIN,Consumer Finance
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Consumer Finance
ICICI Securities Ltd,ISEC,Investment Banking & Brokerage
Nippon Life India Asset Management Ltd,NAM-INDIA,Asset Management
IDFC First Bank Ltd,IDFCFIRSTB,Private Banks
Bank of India Ltd,BANKINDIA,Public Banks
Manappuram Finance Ltd,MANAPPURAM,Consumer Finance
Max Financial Services Ltd,MFSL,Insurance
Canara Bank Ltd,CANBK,Public Banks
Aditya Birla Capital Ltd,ABCAPITAL,Diversified Financials
Sundaram Finance Ltd,SUNDARMFIN,Consumer Finance
LIC Housing Finance Ltd,LICHSGFIN,Home Financing
UCO Bank,UCOBANK,Public Banks
CRISIL Ltd,CRISIL,Stock Exchanges & Ratings
L&T Finance Holdings Ltd,L&TFH,Diversified Financials
Federal Bank Ltd,FEDERALBNK,Private Banks
Aavas Financiers Ltd,AAVAS,Home Financing
Motilal Oswal Financial Services Ltd,MOTILALOFS,Diversified Financials
Central Bank of India Ltd,CENTRALBK,Public Banks
RBL Bank Ltd,RBLBANK,Private Banks
City Union Bank Ltd,CUB,Private Banks
Indiabulls Housing Finance Ltd,IBULHSGFIN,Home Financing
IIFL Wealth Management Ltd,IIFLWAM,Asset Management
CreditAccess Grameen Ltd,CREDITACC,Consumer Finance
Multi Commodity Exchange of India Ltd,MCX,Stock Exchanges & Ratings
JM Financial Ltd,JMFINANCIL,Investment Banking & Brokerage
Edelweiss Financial Services Ltd,EDELWEISS,Diversified Financials
Bank of Maharashtra Ltd,MAHABANK,Public Banks
Housing and Urban Development Corporation Ltd,HUDCO,Specialized Finance
Indian Bank,INDIANB,Public Banks
Cholamandalam Financial Holdings Ltd,CHOLAHLDNG,Diversified Financials
Ujjivan Small Finance Bank Ltd,UJJIVANSFB,Private Banks
