Name,Ticker,Sub-Sector
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals
Dr.Reddy's Laboratories Ltd,DRREDDY,Pharmaceuticals
Divi's Laboratories Ltd,DIVISLAB,Labs & Life Sciences Services
Cipla Ltd,CIPLA,Pharmaceuticals
Biocon Ltd,BIOCON,Biotechnology
Aurobindo Pharma Ltd,AUROPHARMA,Pharmaceuticals
Torrent Pharmaceuticals Ltd,TORNTPHARM,Pharmaceuticals
Lupin Ltd,LUPIN,Pharmaceuticals
Cadila Healthcare Ltd,CADILAHC,Pharmaceuticals
Abbott India Ltd,ABBOTINDIA,Pharmaceuticals
Alkem Laboratories Ltd,ALKEM,Pharmaceuticals
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,Pharmaceuticals
IPCA Laboratories Ltd,IPCALAB,Pharmaceuticals
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Hospitals & Diagnostic Centres
Pfizer Ltd,PFIZER,Pharmaceuticals
Alembic Pharmaceuticals Ltd,APLLTD,Pharmaceuticals
Syngene International Ltd,SYNGENE,Labs & Life Sciences Services
Sanofi India Ltd,SANOFI,Pharmaceuticals
Dr. Lal PathLabs Ltd,LALPATHLAB,Hospitals & Diagnostic Centres
Natco Pharma Ltd,NATCOPHARM,Pharmaceuticals
Ajanta Pharma Ltd,AJANTPHARM,Pharmaceuticals
Glenmark Pharmaceuticals Ltd,GLENMARK,Pharmaceuticals
Jubilant Life Sciences Ltd,JUBILANT,Pharmaceuticals
Fortis Healthcare Ltd,FORTIS,Hospitals & Diagnostic Centres
Astrazeneca Pharma India Ltd,ASTRAZEN,Pharmaceuticals
Metropolis Healthcare Ltd,METROPOLIS,Hospitals & Diagnostic Centres
Laurus Labs Ltd,LAURUSLABS,Pharmaceuticals
Granules India Ltd,GRANULES,Pharmaceuticals
Suven Pharmaceuticals Ltd,SUVENPHAR,Pharmaceuticals
Procter & Gamble Health Ltd,PGHL,Pharmaceuticals
Aster DM Healthcare Ltd,ASTERDM,Hospitals & Diagnostic Centres
Narayana Hrudayalaya Ltd,NH,Hospitals & Diagnostic Centres
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,Pharmaceuticals
Eris Lifesciences Ltd,ERIS,Pharmaceuticals
F D C Ltd,FDC,Pharmaceuticals
Sun Pharma Advanced Research Co Ltd,SPARC,Pharmaceuticals
Shilpa Medicare Ltd,SHILPAMED,Pharmaceuticals
Strides Pharma Science Ltd,STAR,Pharmaceuticals
Aarti Drugs Ltd,AARTIDRUGS,Pharmaceuticals
Poly Medicure Ltd,POLYMED,Health Care Equipment & Supplies
Thyrocare Technologies Ltd,THYROCARE,Hospitals & Diagnostic Centres
Caplin Point Laboratories Ltd,CAPLIPOINT,Pharmaceuticals
Wockhardt Ltd,WOCKPHARMA,Pharmaceuticals
SeQuent Scientific Ltd,SEQUENT,Pharmaceuticals
Dishman Carbogen Amcis Ltd,DCAL,Labs & Life Sciences Services
Alembic Ltd,ALEMBICLTD,Pharmaceuticals
Indoco Remedies Ltd,INDOCO,Pharmaceuticals
Solara Active Pharma Sciences Ltd,SOLARA,Pharmaceuticals
Hikal Ltd,HIKAL,Pharmaceuticals
Marksans Pharma Ltd,MARKSANS,Pharmaceuticals
Unichem Laboratories Ltd,UNICHEMLAB,Pharmaceuticals
Panacea Biotec Ltd,PANACEABIO,Biotechnology
Amrutanjan Health Care Ltd,AMRUTANJAN,Pharmaceuticals
Healthcare Global Enterprises Ltd,HCG,Hospitals & Diagnostic Centres
Hester Biosciences Ltd,HESTERBIO,Biotechnology
Bliss GVS Pharma Ltd,BLISSGVS,Pharmaceuticals
Morepen Laboratories Ltd,MOREPENLAB,Pharmaceuticals
Borosil Renewables Ltd,BORORENEW,Health Care Equipment & Supplies
