Name,Ticker,Sub-Sector
Larsen & Toubro Ltd,LT,Construction & Engineering
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Ports
Eicher Motors Ltd,EICHERMOT,Trucks & Buses
Siemens Ltd,SIEMENS,Conglomerates
Havells India Ltd,HAVELLS,Electrical Components & Equipments
Interglobe Aviation Ltd,INDIGO,Airlines
Hindustan Aeronautics Ltd,HAL,Aerospace & Defense Equipments
Container Corporation of India Ltd,CONCOR,Logistics
3M India Ltd,3MINDIA,Stationery
ABB India Ltd,ABB,Heavy Electrical Equipments
Adani Enterprises Ltd,ADANIENT,Commodities Trading
AIA Engineering Ltd,AIAENG,Industrial Machinery
L&T Technology Services Ltd,LTTS,Construction & Engineering
Escorts Ltd,ESCORTS,Tractors
Ashok Leyland Ltd,ASHOKLEY,Trucks & Buses
Astral Poly Technik Ltd,ASTRAL,Building Products - Pipes
GMR Infrastructure Ltd,GMRINFRA,Construction & Engineering
Exide Industries Ltd,EXIDEIND,Batteries
Bharat Heavy Electricals Ltd,BHEL,Heavy Electrical Equipments
Polycab India Ltd,POLYCAB,Electrical Components & Equipments
Amara Raja Batteries Ltd,AMARAJABAT,Batteries
Cummins India Ltd,CUMMINSIND,Industrial Machinery
Thermax Limited,THERMAX,Industrial Machinery
SKF India Ltd,SKFINDIA,Industrial Machinery
Timken India Ltd,TIMKEN,Industrial Machinery
V Guard Industries Ltd,VGUARD,Electrical Components & Equipments
Bharat Dynamics Ltd,BDL,Aerospace & Defense Equipments
KEC International Ltd,KEC,Construction & Engineering
Kajaria Ceramics Ltd,KAJARIACER,Building Products - Ceramics
RITES Ltd,RITES,Business Support Services
GMM Pfaudler Ltd,GMMPFAUDLR,Industrial Machinery
Finolex Industries Ltd,FINPIPE,Building Products - Pipes
Grindwell Norton Ltd,GRINDWELL,Industrial Machinery
Blue Dart Express Ltd,BLUEDART,Logistics
Westlife Development Ltd,WESTLIFE,Commodities Trading
Security and Intelligence Services (INDIA) Ltd,SIS,Business Support Services
Quess Corp Ltd,QUESS,Employment Services
Ratnamani Metals and Tubes Ltd,RATNAMANI,Building Products - Pipes
Carborundum Universal Ltd,CARBORUNIV,Industrial Machinery
APL Apollo Tubes Ltd,APLAPOLLO,Building Products - Pipes
NBCC (India) Ltd,NBCC,Construction & Engineering
Cochin Shipyard Ltd,COCHINSHIP,Shipbuilding
Engineers India Ltd,ENGINERSIN,Construction & Engineering
Ircon International Ltd,IRCON,Construction & Engineering
IRB Infrastructure Developers Ltd,IRB,Construction & Engineering
Finolex Cables Ltd,FINCABLES,Cables
Dilip Buildcon Ltd,DBL,Construction & Engineering
Gujarat Pipavav Port Ltd,GPPL,Ports
PNC Infratech Ltd,PNCINFRA,Construction & Engineering
