Name,Ticker,Sub-Sector
Tata Consultancy Services Ltd,TCS,IT Services & Consulting
Infosys Ltd,INFY,IT Services & Consulting
HCL Technologies Ltd,HCLTECH,IT Services & Consulting
Wipro Ltd,WIPRO,IT Services & Consulting
Tech Mahindra Ltd,TECHM,IT Services & Consulting
Larsen & Toubro Infotech Ltd,LTI,IT Services & Consulting
Oracle Financial Services Software Ltd,OFSS,Software Services
Bharat Electronics Ltd,BEL,Electronic Equipments
Honeywell Automation India Ltd,HONAUT,Electronic Equipments
Mphasis Ltd,MPHASIS,IT Services & Consulting
MindTree Ltd,MINDTREE,IT Services & Consulting
Hexaware Technologies Ltd,HEXAWARE,IT Services & Consulting
NIIT Technologies Ltd,NIITTECH,IT Services & Consulting
Persistent Systems Ltd,PERSISTENT,Software Services
Tata Elxsi Ltd,TATAELXSI,Software Services
Infibeam Avenues Ltd,INFIBEAM,IT Services & Consulting
Redington (India) Ltd,REDINGTON,Technology Hardware
Cyient Ltd,CYIENT,Software Services
Zensar Technologies Ltd,ZENSARTECH,IT Services & Consulting
Vakrangee Ltd,VAKRANGEE,Outsourced services
Firstsource Solutions Ltd,FSL,Outsourced services
Birlasoft Ltd,BSOFT,IT Services & Consulting
Sonata Software Ltd,SONATSOFTW,IT Services & Consulting
Intellect Design Arena Ltd,INTELLECT,Software Services
KPIT Technologies Ltd,KPITTECH,IT Services & Consulting
Tanla Solutions Ltd,TANLA,Software Services
Eclerx Services Ltd,ECLERX,Outsourced services
Hinduja Global Solutions Ltd,HGS,Outsourced services
Accelya Solutions India Ltd,ACCELYA,Software Services
Majesco Ltd,MAJESCO,IT Services & Consulting
Newgen Software Technologies Ltd,NEWGEN,Software Services
Mastek Ltd,MASTEK,IT Services & Consulting
R Systems International Ltd,RSYSTEMS,IT Services & Consulting
AGC Networks Ltd,AGCNET,IT Services & Consulting
Astra Micro Wave Products Ltd,ASTRAMICRO,Communication & Networking
Nucleus Software Exports Ltd,NUCLEUS,Software Services
BLS International Services Ltd,BLS,Outsourced services
Quick Heal Technologies Ltd,QUICKHEAL,IT Services & Consulting
Cigniti Technologies Ltd,CIGNITITEC,Software Services
Sasken Technologies Ltd,SASKEN,Software Services
Genus Power Infrastructures Ltd,GENUSPOWER,Electronic Equipments
Take Solutions Ltd,TAKE,IT Services & Consulting
Xchanging Solutions Ltd,XCHANGING,IT Services & Consulting
Nelco Ltd,NELCO,Communication & Networking
Subex Ltd,SUBEX,Software Services
Centum Electronics Ltd,CENTUM,Electronic Equipments
Zen Technologies Ltd,ZENTEC,Electronic Equipments
3i Infotech Ltd,3IINFOTECH,IT Services & Consulting
Ramco Systems Ltd,RAMCOSYS,IT Services & Consulting
Control Print Ltd,CONTROLPR,Electronic Equipments
63 Moons Technologies Ltd,63MOONS,IT Services & Consulting
Cerebra Integrated Technologies Ltd,CEREBRAINT,Technology Hardware
Datamatics Global Services Ltd,DATAMATICS,IT Services & Consulting
D-Link (India) Ltd,DLINKINDIA,Technology Hardware
Onmobile Global Ltd,ONMOBILE,Software Services
HCL Infosystems Ltd,HCL-INSYS,IT Services & Consulting
Allsec Technologies Ltd,ALLSEC,IT Services & Consulting
Expleo Solutions Ltd,EXPLEOSOL,Software Services
Infobeans Technologies Ltd,INFOBEAN,Software Services
Apollo Micro Systems Ltd,APOLLO,Electronic Equipments
Saksoft Ltd,SAKSOFT,IT Services & Consulting
Kellton Tech Solutions Ltd,KELLTONTEC,IT Services & Consulting
Optiemus Infracom Ltd,OPTIEMUS,Technology Hardware
TVS Electronics Ltd,TVSELECT,Technology Hardware
Airan Ltd,AIRAN,IT Services & Consulting
Xelpmoc Design and Tech Ltd,XELPMOC,IT Services & Consulting
Cybertech Systems and Software Ltd,CYBERTECH,IT Services & Consulting
Silver Touch Technologies Ltd,SILVERTUC,IT Services & Consulting
Aurionpro Solutions Ltd,AURIONPRO,IT Services & Consulting
Inspirisys Solutions Ltd,INSPIRISYS,IT Services & Consulting
Creative Peripherals and Distribution Ltd,CREATIVE,Technology Hardware
Onward Technologies Ltd,ONWARDTEC,Outsourced services
Trigyn Technologies Ltd,TRIGYN,IT Services & Consulting
Genesys International Corporation Ltd,GENESYS,IT Services & Consulting
Innovana Thinklabs Ltd,INNOVANA,Software Services
Aksh Optifibre Ltd,AKSHOPTFBR,Communication & Networking
Smartlink Holdings Ltd,SMARTLINK,Communication & Networking
Allied Digital Services Ltd,ADSL,IT Services & Consulting
Rolta India Ltd,ROLTA,IT Services & Consulting
PG Electroplast Ltd,PGEL,Electronic Equipments
FCS Software Solutions Ltd,FCSSOFT,Software Services
Compuage Infocom Ltd,COMPINFO,Technology Hardware
Intense Technologies Ltd,INTENTECH,IT Services & Consulting
Panache Digilife Ltd,PANACHE,Technology Hardware
Nitiraj Engineers Ltd,NITIRAJ,Electronic Equipments
Mindteck (India) Ltd,MINDTECK,IT Services & Consulting
DEV Information Technology Ltd,DEVIT,IT Services & Consulting
HOV Services Ltd,HOVS,Outsourced services
MRO-TEK Reality Ltd,MRO-TEK,Communication & Networking
Aarvi Encon Ltd,AARVI,Outsourced services
R S Software (India) Ltd,RSSOFTWARE,Software Services
SoftTech Engineers Ltd,SOFTTECH,Software Services
Ducon Infratechnologies Ltd,DUCON,IT Services & Consulting
GSS Infotech Ltd,GSS,Software Services
Cambridge Technology Enterprises Ltd,CTE,IT Services & Consulting
E2E Networks Ltd,E2E,Software Services
Tera Software Ltd,TERASOFT,IT Services & Consulting
Izmo Ltd,IZMO,Software Services
Megasoft Ltd,MEGASOFT,IT Services & Consulting
One Point One Solutions Ltd,ONEPOINT,Outsourced services
Reliable Data Services Ltd,RELIABLE,Outsourced services
DC Infotech and Communication Ltd,DCI,IT Services & Consulting
Dynacons Systems and Solutions Ltd,DSSL,IT Services & Consulting
Kernex Microsystems (India) Ltd,KERNEX,Software Services
Palred Technologies Ltd,PALREDTEC,IT Services & Consulting
Cadsys ( India ) Ltd,CADSYS,IT Services & Consulting
Adroit Infotech Ltd,ADROITINFO,IT Services & Consulting
Fourth Dimension Solutions Ltd,FOURTHDIM,IT Services & Consulting
Ksolves India Ltd,KSOLVES,IT Services & Consulting
Goldstone Technologies Ltd,GOLDTECH,IT Services & Consulting
Jindal Photo Ltd,JINDALPHOT,Electronic Equipments
Trejhara Solutions Ltd,TREJHARA,IT Services & Consulting
California Software Company Ltd,CALSOFT,IT Services & Consulting
Pulz Electronics Ltd,PULZ,Electronic Equipments
Zicom Electronic Security Systems Ltd,ZICOM,Electronic Equipments
Melstar Information Technologies Ltd,MELSTAR,IT Services & Consulting
Euro Multivision Ltd,EUROMULTI,Technology Hardware
