Name,Ticker,Sub-Sector
Asian Paints Ltd,ASIANPAINT,Paints
UltraTech Cement Ltd,ULTRACEMCO,Cement
Hindustan Zinc Ltd,HINDZINC,Mining - Diversified
Coal India Ltd,COALINDIA,Mining - Coal
Shree Cement Ltd,SHREECEM,Cement
Pidilite Industries Ltd,PIDILITIND,Diversified Chemicals
Berger Paints India Ltd,BERGEPAINT,Paints
JSW Steel Ltd,JSWSTEEL,Iron & Steel
Vedanta Ltd,VEDL,Metals - Diversified
Ambuja Cements Ltd,AMBUJACEM,Cement
Tata Steel Ltd,TATASTEEL,Iron & Steel
Grasim Industries Ltd,GRASIM,Cement
Hindalco Industries Ltd,HINDALCO,Metals - Aluminium
UPL Ltd,UPL,Fertilizers & Agro Chemicals
PI Industries Ltd,PIIND,Diversified Chemicals
NMDC Ltd,NMDC,Mining - Iron Ore
Bayer CropScience Ltd,BAYERCROP,Fertilizers & Agro Chemicals
ACC Ltd,ACC,Cement
Coromandel International Ltd,COROMANDEL,Fertilizers & Agro Chemicals
Kansai Nerolac Paints Ltd,KANSAINER,Paints
Bharat Forge Ltd,BHARATFORG,Iron & Steel
Jindal Steel And Power Ltd,JINDALSTEL,Iron & Steel
Aarti Industries Ltd,AARTIIND,Specialty Chemicals
Ramco Cements Ltd,RAMCOCEM,Cement
Atul Ltd,ATUL,Diversified Chemicals
Supreme Industries Ltd,SUPREMEIND,Plastic Products
Steel Authority of India Ltd,SAIL,Iron & Steel
Sumitomo Chemical India Ltd,SUMICHEM,Commodity Chemicals
Dalmia Bharat Ltd,DALBHARAT,Cement
Godrej Industries Ltd,GODREJIND,Diversified Chemicals
J K Cement Ltd,JKCEMENT,Cement
Castrol India Ltd,CASTROLIND,Commodity Chemicals
Vinati Organics Ltd,VINATIORGA,Specialty Chemicals
Solar Industries India Ltd,SOLARINDS,Commodity Chemicals
Navin Fluorine International Ltd,NAVINFLUOR,Specialty Chemicals
Akzo Nobel India Ltd,AKZOINDIA,Specialty Chemicals
Deepak Nitrite Ltd,DEEPAKNTR,Commodity Chemicals
Tata Chemicals Ltd,TATACHEM,Diversified Chemicals
KIOCL Ltd,KIOCL,Iron & Steel
NLC India Ltd,NLCINDIA,Metals - Diversified
Chambal Fertilisers and Chemicals Ltd,CHAMBLFERT,Fertilizers & Agro Chemicals
Fine Organic Industries Ltd,FINEORG,Specialty Chemicals
National Aluminium Co Ltd,NATIONALUM,Metals - Aluminium
Essel Propack Ltd,ESSELPACK,Packaging
BASF India Ltd,BASF,Diversified Chemicals
Rallis India Ltd,RALLIS,Fertilizers & Agro Chemicals
Galaxy Surfactants Ltd,GALAXYSURF,Specialty Chemicals
Linde India Ltd,LINDEINDIA,Commodity Chemicals
DCM Shriram Ltd,DCMSHRIRAM,Diversified Chemicals
Alkyl Amines Chemicals Ltd,ALKYLAMINE,Specialty Chemicals
Gujarat Fluorochemicals Ltd,FLUOROCHEM,Specialty Chemicals
IOL Chemicals and Pharmaceuticals Ltd,IOLCP,Commodity Chemicals
Birla Corporation Ltd,BIRLACORPN,Cement
Dhanuka Agritech Ltd,DHANUKA,Fertilizers & Agro Chemicals
Bharat Rasayan Ltd,BHARATRAS,Fertilizers & Agro Chemicals
Heidelbergcement India Ltd,HEIDELBERG,Cement
Mishra Dhatu Nigam Ltd,MIDHANI,Metals - Diversified
Rossari Biotech Ltd,ROSSARI,Specialty Chemicals
India Cements Ltd,INDIACEM,Cement
Star Cement Ltd,STARCEMENT,Cement
Century Textile and Industries Ltd,CENTURYTEX,Cement
Hindustan Copper Ltd,HINDCOPPER,Mining - Copper
Moil Ltd,MOIL,Mining - Manganese
JK Lakshmi Cement Ltd,JKLAKSHMI,Cement
Rain Industries Ltd,RAIN,Metals - Coke
Fertilisers And Chemicals Travancore Ltd,FACT,Fertilizers & Agro Chemicals
Gulf Oil Lubricants India Ltd,GULFOILLUB,Commodity Chemicals
Century Plyboards (India) Ltd,CENTURYPLY,Wood Products
Rashtriya Chemicals and Fertilizers Ltd,RCF,Fertilizers & Agro Chemicals
Sudarshan Chemical Industries Ltd,SUDARSCHEM,Diversified Chemicals
Sharda Cropchem Ltd,SHARDACROP,Fertilizers & Agro Chemicals
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,Fertilizers & Agro Chemicals
Gujarat Alkalies And Chemicals Ltd,GUJALKALI,Commodity Chemicals
Gujarat State Fertilizers and Chemicals Ltd,GSFC,Fertilizers & Agro Chemicals
Fairchem Speciality Ltd,FAIRCHEM,Specialty Chemicals
Prism Johnson Ltd,PRSMJOHNSN,Cement
Tata Steel BSL Ltd,TATASTLBSL,Iron & Steel
National Fertilizers Ltd,NFL,Fertilizers & Agro Chemicals
Welspun Corp Ltd,WELCORP,Iron & Steel
Astec Lifesciences Ltd,ASTEC,Fertilizers & Agro Chemicals
Orient Refractories Ltd,ORIENTREF,Cement
Uflex Ltd,UFLEX,Packaging
Himadri Speciality Chemical Ltd,HSCL,Commodity Chemicals
Balaji Amines Ltd,BALAMINES,Specialty Chemicals
Polyplex Corporation Ltd,POLYPLEX,Commodity Chemicals
Jindal Stainless Ltd,JSL,Iron & Steel
Advanced Enzyme Technologies Ltd,ADVENZYMES,Specialty Chemicals
Nocil Ltd,NOCIL,Commodity Chemicals
JK Paper Ltd,JKPAPER,Paper Products
Nilkamal Ltd,NILKAMAL,Plastic Products
Supreme Petrochem Ltd,SUPPETRO,Specialty Chemicals
Phillips Carbon Black Ltd,PHILIPCARB,Commodity Chemicals
Huhtamaki PPL Ltd,PAPERPROD,Packaging
Jindal Stainless (Hisar) Ltd,JSLHISAR,Iron & Steel
Kiri Industries Ltd,KIRIINDUS,Specialty Chemicals
Jindal Poly Films Ltd,JINDALPOLY,Packaging
Ramco Industries Ltd,RAMCOIND,Cement
Tinplate Company of India Ltd,TINPLATE,Iron & Steel
Meghmani Organics Ltd,MEGH,Commodity Chemicals
GHCL Ltd,GHCL,Commodity Chemicals
Tide Water Oil Co India Ltd,TIDEWATER,Commodity Chemicals
Tata Metaliks Ltd,TATAMETALI,Iron & Steel
Orient Cement Ltd,ORIENTCEM,Cement
Gujarat Mineral Development Corporation Ltd,GMDCLTD,Mining - Diversified
Maithan Alloys Ltd,MAITHANALL,Iron & Steel
Neogen Chemicals Ltd,NEOGEN,Specialty Chemicals
INEOS Styrolution India Ltd,INEOSSTYRO,Commodity Chemicals
Deepak Fertilisers and Petrochemicals Corp Ltd,DEEPAKFERT,Fertilizers & Agro Chemicals
West Coast Paper Mills Ltd,WSTCSTPAPR,Paper Products
Tata Steel Long Products Ltd,TATASTLLP,Iron & Steel
Seya Industries Ltd,SEYAIND,Specialty Chemicals
Orissa Minerals Development Company Ltd,ORISSAMINE,Mining - Diversified
Oriental Aromatics Ltd,OAL,Specialty Chemicals
S H Kelkar And Company Ltd,SHK,Specialty Chemicals
Sagar Cements Ltd,SAGCEM,Cement
Greenply Industries Ltd,GREENPLY,Wood Products
Kirloskar Ferrous Industries Ltd,KIRLFER,Iron & Steel
GFL Ltd,GFLLIMITED,Specialty Chemicals
Excel Industries Ltd,EXCELINDUS,Fertilizers & Agro Chemicals
Satia Industries Ltd,SATIA,Paper Products
HIL Ltd,HIL,Cement
Kalyani Steels Ltd,KSL,Iron & Steel
Seshasayee Paper and Boards Ltd,SESHAPAPER,Paper Products
Bodal Chemicals Ltd,BODALCHEM,Commodity Chemicals
Savita Oil Technologies Ltd,SOTL,Commodity Chemicals
Insecticides (India) Ltd,INSECTICID,Fertilizers & Agro Chemicals
Time Technoplast Ltd,TIMETECHNO,Plastic Products
Andhra Paper Ltd,ANDHRAPAP,Paper Products
Clariant Chemicals India Ltd,CLNINDIA,Specialty Chemicals
India Glycols Ltd,INDIAGLYCO,Commodity Chemicals
Bhansali Engg Polymers Ltd,BEPL,Commodity Chemicals
Andhra Sugars Ltd,ANDHRSUGAR,Commodity Chemicals
Oriental Carbon & Chemicals Ltd,OCCL,Commodity Chemicals
GOCL Corp Ltd,GOCLCORP,Commodity Chemicals
Gallantt Ispat Ltd,GALLISPAT,Iron & Steel
Tamilnadu Newsprint & Papers Ltd,TNPL,Paper Products
Cosmo Films Ltd,COSMOFILMS,Packaging
Shree Digvijay Cement Co Ltd,SHREDIGCEM,Cement
Camlin Fine Sciences Ltd,CAMLINFINE,Specialty Chemicals
NACL Industries Ltd,NACLIND,Fertilizers & Agro Chemicals
KCP Ltd,KCP,Cement
Sunflag Iron and Steel Co Ltd,SUNFLAG,Iron & Steel
Foseco India Ltd,FOSECOIND,Specialty Chemicals
Surya Roshni Ltd,SURYAROSNI,Iron & Steel
Monnet Ispat and Energy Ltd,AIONJSW,Iron & Steel
Apcotex Industries Ltd,APCOTEXIND,Specialty Chemicals
Sirca Paints India Ltd,SIRCA,Paints
Sarda Energy & Minerals Ltd,SARDAEN,Iron & Steel
Godawari Power and Ispat Ltd,GPIL,Iron & Steel
Mold-Tek Packaging Ltd,MOLDTKPAC,Plastic Products
Thirumalai Chemicals Ltd,TIRUMALCHM,Commodity Chemicals
Sanghi Industries Ltd,SANGHIIND,Cement
Vikas Multicorp Ltd,VIKASMCORP,Plastic Products
Prakash Industries Ltd,PRAKASH,Iron & Steel
Punjab Chemicals and Crop Protection Ltd,PUNJABCHEM,Diversified Chemicals
Max Ventures and Industries Ltd,MAXVIL,Packaging
Usha Martin Ltd,USHAMART,Iron & Steel
Kingfa Science and Technology (India) Ltd,KINGFA,Commodity Chemicals
Bhageria Industries Ltd,BHAGERIA,Specialty Chemicals
Mangalam Cement Ltd,MANGLMCEM,Cement
Shrenik Ltd,SHRENIK,Paper Products
I G Petrochemicals Ltd,IGPL,Specialty Chemicals
Kuantum Papers Ltd,KUANTUM,Paper Products
MM Forgings Ltd,MMFL,Iron & Steel
Greenpanel Industries Ltd,GREENPANEL,Wood Products
Ester Industries Ltd,ESTER,Commodity Chemicals
Indian Metals and Ferro Alloys Ltd,IMFA,Iron & Steel
Nelcast Ltd,NELCAST,Iron & Steel
Visaka Industries Ltd,VISAKAIND,Cement
Emami Paper Mills Ltd,EMAMIPAP,Paper Products
Southern Petrochemical Industries Corporation Ltd,SPIC,Fertilizers & Agro Chemicals
Plastiblends India Ltd,PLASTIBLEN,Specialty Chemicals
Uniphos Enterprises Ltd,UNIENTER,Fertilizers & Agro Chemicals
Mangalore Chemicals and Fertilisers Ltd,MANGCHEFER,Fertilizers & Agro Chemicals
Pokarna Ltd,POKARNA,Cement
Orient Paper and Industries Ltd,ORIENTPPR,Paper Products
Zuari Agro Chemicals Ltd,ZUARI,Fertilizers & Agro Chemicals
Anjani Portland Cement Ltd,APCL,Cement
N R Agarwal Industries Ltd,NRAIL,Paper Products
Manali Petrochemicals Ltd,MANALIPETC,Specialty Chemicals
Ncl Industries Ltd,NCLIND,Cement
Vidhi Specialty Food Ingredients Ltd,VIDHIING,Commodity Chemicals
Deccan Cements Ltd,DECCANCE,Cement
Shree Pushkar Chemicals & Fertilisers Ltd,SHREEPUSHK,Specialty Chemicals
Gravita India Ltd,GRAVITA,Metals - Lead
Ashapura Minechem Ltd,ASHAPURMIN,Metals - Diversified
Tamilnadu Petroproducts Ltd,TNPETRO,Commodity Chemicals
Uttam Value Steels Ltd,UVSL,Iron & Steel
Shalimar Paints Ltd,SHALPAINTS,Specialty Chemicals
Fineotex Chemical Ltd,FCL,Specialty Chemicals
