Name,Ticker,Sub-Sector
Power Grid Corporation of India Ltd,POWERGRID,Power Transmission & Distribution
NTPC Ltd,NTPC,Power Generation
Adani Green Energy Ltd,ADANIGREEN,Renewable Energy
GAIL (India) Ltd,GAIL,Gas Distribution
Indraprastha Gas Ltd,IGL,Gas Distribution
Adani Transmission Ltd,ADANITRANS,Power Infrastructure
NHPC Ltd,NHPC,Renewable Energy
Gujarat Gas Ltd,GUJGASLTD,Gas Distribution
Adani Gas Ltd,ADANIGAS,Gas Distribution
Torrent Power Ltd,TORNTPOWER,Power Transmission & Distribution
Adani Power Ltd,ADANIPOWER,Power Generation
Tata Power Company Ltd,TATAPOWER,Power Transmission & Distribution
Gujarat State Petronet Ltd,GSPL,Gas Distribution
Mahanagar Gas Ltd,MGL,Gas Distribution
SJVN Ltd,SJVN,Renewable Energy
CESC Ltd,CESC,Power Generation
JSW Energy Ltd,JSWENERGY,Power Generation
India Grid Trust,INDIGRID,Power Transmission & Distribution
Indian Energy Exchange Ltd,IEX,Power Trading & Consultancy
Kalpataru Power Transmission Ltd,KALPATPOWR,Power Infrastructure
PTC India Ltd,PTC,Power Trading & Consultancy
Jaiprakash Power Ventures Ltd,JPPOWER,Renewable Energy
RattanIndia Power Ltd,RTNPOWER,Power Generation
Gujarat Industries Power Company Ltd,GIPCL,Power Generation
Reliance Power Ltd,RPOWER,Power Generation
Bf Utilities Limitd,BFUTILITIE,Renewable Energy
Indian Hume Pipe Company Ltd,INDIANHUME,Water Management
Reliance Infrastructure Ltd,RELINFRA,Power Infrastructure
India Power Corporation Ltd,DPSCLTD,Power Generation
Va Tech Wabag Ltd,WABAG,Water Management
RattanIndia Infrastructure Ltd,RTNINFRA,Power Trading & Consultancy
Skipper Ltd,SKIPPER,Power Infrastructure
Everest Kanto Cylinder Ltd,EKC,Gas Distribution
Orient Green Power Company Ltd,GREENPOWER,Renewable Energy
Ujaas Energy Ltd,UJAAS,Renewable Energy
Jiya Eco-Products Ltd,JIYAECO,Renewable Energy
Energy Development Company Ltd,ENERGYDEV,Renewable Energy
KSK Energy Ventures Ltd,KSK,Power Infrastructure
Indowind Energy Ltd,INDOWIND,Renewable Energy
Jyoti Structures Ltd,JYOTISTRUC,Power Transmission & Distribution
Karma Energy Ltd,KARMAENG,Renewable Energy
Felix Industries Ltd,FELIX,Water Management
SE Power Ltd,SEPOWER,Renewable Energy
Easun Reyrolle Ltd,EASUNREYRL,Power Transmission & Distribution
Powerful Technologies Ltd,POWERFUL,Power Transmission & Distribution
Power and Instrumentation (Gujarat) Ltd,PIGL,Power Infrastructure
Neueon Towers Ltd,NTL,Power Infrastructure
